Contributor Name|Form ID|Contributor ID|Postmark Date|Date Received|Microfilm Number|Contributor Type|Date Last Revised|Last Revised By|Contributor Phone
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CON13671|06/10/2008|06/13/2008|7780122|C|06/16/2008|nadc06|9164442278
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL003250|08CON13671|11/07/2008|11/13/2008|7840185|C|11/17/2008|nadc06|9164442278
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002706|08CON13671|08/13/2008|08/14/2008|7800111|C|08/18/2008|nadc06|
WOODBURY CORPORATION|10CFL004508|10CON15745|05/18/2010|05/18/2010|8240087|C|05/25/2010|nadc06|8014857770
WOODBURY CORPORATION|10CFL004511|10CON15745|05/24/2010|05/27/2010|8240120|C|06/01/2010|nadc06|8014857770
BOYD GAMING CORPORATION|06CFL000521|06CUA03631|08/03/2006|08/03/2006|7340089|C|08/07/2006|nadc06|7027927200
BOYD GAMING CORPORATION|06CFL000497|06CUA03631|07/06/2006|07/06/2006|7330174|C|07/10/2006|nadc06|7027927200
NATIONAL EDUCATION ASSOCIATION|08CFL002750|06CUA03815|08/18/2008|08/18/2008|7800128|L|08/25/2008|nadc06|2028334000
TIDES FOUNDATION|08CFL002754|08CUA05122|08/21/2008|08/25/2008|7800153|C|09/02/2008|nadc06|4155616400
TEAM SAM|08CFL003246|08CUA04930|11/06/2008|11/10/2008|7840186|C|11/17/2008|nadc06|
NEA FUND FOR CHILDREN & PUBLIC EDUCATION|10CFL004336|99CON02492|02/26/2010|03/01/2010|8140179|L|03/11/2010|nadc06|2028227332
COAST CASINOS, INC.|05CFL1|99CON08017|03/31/2005|04/01/2005|7010163|C|04/11/2005|nadc06|7023657000
TEAM SAM|08CFL002693|08CUA04930|07/17/2008|07/21/2008||C|07/21/2008|nadc06|
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CON13671|07/10/2008|07/14/2008|7790230|C|07/21/2008|nadc06|9164833055
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|10CFL004283|08CON13671|02/12/2010|02/16/2010|0|C|02/16/2010|nadc06|9164442278
REPUBLICAN STATE LEADERSHIP COMMITTEE|13CFL004933|09CUA06199|09/10/2013|09/10/2013|8940107|P|09/16/2013|nadc01|
OTB ARIZONA, LLC (NE)|14CFL005308|12CUA07046|05/01/2014|05/02/2014|9130209|C|05/07/2014|nadc01|
ALLIANCE COAL LLC|14CFL005336|14CUA08127|08/11/2014|08/11/2014|9200048|C|08/18/2014|nadc06|9182957606
NATIONAL BEER WHOLESALERS ASSOCIATION|15CFL005772|13CUA07394|04/09/2015|04/15/2015|9410092|I|04/20/2015|nadc06|706834300
REPUBLICAN STATE LEADERSHIP COMMITTEE|12CFL004862|09CUA06199|11/08/2012|11/13/2012|8740016|C|11/21/2012|nadc05|2024485160
REPUBLICAN STATE LEADERSHIP COMMITTEE|12CFL004866|09CUA06199|07/08/2005|07/08/2005|7070034|C|11/21/2012|nadc05|2023492400
REPUBLICAN STATE LEADERSHIP COMMITTEE|14CFL005175|09CUA06199|01/10/2014|01/10/2014|8970112|C|01/13/2014|nadc01|
COMCAST CORPORATION|14CFL005326|06CUA04117|06/20/2014|06/20/2014|9170200|C|06/25/2014|nadc01|
CONSUMER FINANCIAL SERVICES OF WAUKEGAN LLC|14CFL005330|14CUA07790|06/21/2014|06/24/2014|9180193|C|06/30/2014|nadc01|8476255626
DEVON ENERGY|14CFL005342|14CUA08130|08/11/2014|08/13/2014|9200049|C|08/18/2014|nadc06|
CONSUMER FINANCIAL SERVICES OF WAUKEGAN LLC|14CFL005346|14CUA07790|09/08/2014|09/10/2014|9210012|C|09/15/2014|nadc06|
OTB ARIZONA, LLC (NE)|14CFL005348|12CUA07046|09/09/2014|09/10/2014|9210014|C|09/15/2014|nadc06|
CONKLIN COMPANY, INC.|14CFL005387|13CUA07392|10/07/2014|10/08/2014|9230007|C|10/17/2014|nadc06|9524456010
NATIONAL EDUCATION ASSOCIATION|14CFL005389|06CUA03815|10/08/2014|10/14/2014|9230059|L|10/20/2014|nadc06|
COMCAST CORPORATION|14CFL005430|06CUA04117|11/06/2014|11/06/2014|9260032|C|11/10/2014|nadc06|215868036
REPUBLICAN STATE LEADERSHIP COMMITTEE|14CFL005440|09CUA06199|11/10/2014|11/14/2014|9260113|P|11/18/2014|nadc06|202485160
HERBALIFE INTERNATIONAL OF AMERICA, INC.|14CFL005332|14CUA07613|07/01/2014|07/01/2014|9180240|C|07/07/2014|nadc01|
OTB ARIZONA, LLC (NE)|14CFL005334|12CUA07046|07/14/2014|07/14/2014|9190094|C|07/21/2014|nadc01|
MACLEAN-FROGG|14CFL005350|14CUA08156|09/09/2014|09/11/2014|9210013|C|09/15/2014|nadc06|
BOLLINGER SHIPYARDS|14CFL005434|14CUA08281|11/05/0014|11/10/2014|9260112|C|11/18/2014|nadc06|
REPUBLICAN STATE LEADERSHIP COMMITTEE|12CFL004864|09CUA06199|01/11/2005|01/11/2005|6900184|C|11/21/2012|nadc05|2024485160
PEPPER COMPANIES, THE|14CFL005352|14CUA07919|09/10/2014|09/12/2014|9210015|C|09/15/2014|nadc06|3122664703
PROTEUS ACTION LEAGUE|15CFL005803|15CUA08533|07/14/2015|07/14/2015|9440133|C|07/20/2015|nadc06|4132560349
EQUAL JUSTICE USA|15CFL005825|15CUA08544|11/10/2015|11/10/2015|9460110|C|11/16/2015|nadc06|7188018940
EQUAL JUSTICE USA|15CFL005827|15CUA08544|11/13/2015|11/13/2015|9460111|C|11/16/2015|nadc06|7188018940
EQUAL JUSTICE USA|15CFL005839|15CUA08544|12/04/2015|12/08/2015|9460220|C|12/14/2015|nadc06|7188018940
EQUAL JUSTICE USA|16CFL005847|15CUA08544|01/06/2016|01/11/2016|9480076|C|01/19/2016|nadc06|7188018940
OPEN SOCIETY POLICY CENTER|16CFL005897|16CUA08738|07/07/2016|07/11/2016|9660182|C|07/18/2016|nadc06|
AMERICAN WIND ACTION|16CFL005961|16CUA08865|11/09/2016|11/09/2016|9720049|C|11/15/2016|nadc06|2023832548
PROTEUS ACTION LEAGUE|15CFL005829|15CUA08533|11/13/2015|11/13/2015|9460112|C|11/16/2015|nadc06|4132560349
CIVIC PARTICIPATION ACTION FUND|16CFL005853|16CUA08656|03/05/2016|03/09/2016|9550175|C|03/15/2016|nadc06|2028367450
EQUAL JUSTICE USA|16CFL005866|15CUA08544|04/11/2016|04/13/2016|9610152|C|04/19/2016|nadc06|
EQUAL JUSTICE USA|16CFL005901|15CUA08544|07/11/2016|07/14/2016|9660181|C|07/18/2016|nadc06|7188018940
OPEN SOCIETY POLICY CENTER|16CFL005879|16CUA08738|06/15/2016|06/20/2016|9660019|C|06/28/2016|nadc06|
CIVIC PARTICIPATION ACTION FUND|16CFL005918|16CUA08656|09/23/2016|09/23/2016|9680108|C|09/26/2016|nadc06|2028367450
OPEN SOCIETY POLICY CENTER|16CFL005922|16CUA08738|10/06/2016|10/11/2016|9690225|C|10/19/2016|nadc06|
EQUAL JUSTICE USA|16CFL005923|15CUA08544|10/11/2016|10/14/2016|9690224|C|10/19/2016|nadc06|7188018940
COMMUNITY LEADERS OF AMERICA 46-3149989|17CFL006023|17CUA09009|05/08/2017|05/08/2017|9900121|C|05/16/2017|nadc06|2025571398
PROTEUS ACTION LEAGUE|16CFL005859|15CUA08533|04/11/2016|04/11/2016|9610153|C|05/12/2016|nadc05|4132560349
EQUAL JUSTICE USA|16CFL005871|15CUA08544|05/10/2016|05/12/2016|9640030|C|05/16/2016|nadc06|7188018940
EQUAL JUSTICE USA|16CFL005905|15CUA08544|08/10/2016|08/16/2016|9670152|C|09/02/2016|nadc05|7188018940
OPEN SOCIETY POLICY CENTER|16CFL005914|16CUA08738|09/07/2016|09/12/2016|9680077|C|09/19/2016|nadc01|2027215600
EQUAL JUSTICE USA|15CFL005822|15CUA08544|10/20/2015|10/20/2015|9460015|C|10/27/2015|nadc06|7188018940
EQUAL JUSTICE USA|16CFL005855|15CUA08544|03/12/2016|03/15/2016|9560181|C|03/22/2016|nadc06|7188018940
EQUAL JUSTICE USA|16CFL005857|15CUA08544|03/12/2016|03/16/2016|9560182|C|03/22/2016|nadc06|7188018940
EQUAL JUSTICE USA|16CFL005877|15CUA08544|06/10/2016|06/13/2016|9650069|C|07/05/2016|nadc06|7188018940
OPEN SOCIETY POLICY CENTER|16CFL005904|16CUA08738|08/11/2016|08/11/2016|9670109|C|08/15/2016|nadc06|
EQUAL JUSTICE USA|16CFL005916|15CUA08544|09/20/2016|09/20/2016|9680109|C|09/26/2016|nadc06|7188018940
PROTEUS ACTION LEAGUE|16CFL005967|15CUA08533|11/10/2016|11/14/2016|9720109|C|11/21/2016|nadc06|4132560349
EQUAL JUSTICE USA|16CFL005975|15CUA08544|11/10/2016|11/15/2016|9720108|C|11/21/2016|nadc06|7188018940
EQUAL JUSTICE USA|16CFL005992|15CUA08544|12/12/2016|12/20/2016|9730043|C|12/27/2016|nadc06|7188018940
NEW APPROACH PAC|19CFL006226|19CUA09503|08/09/2019|08/09/2019|1390155|C|08/20/2019|nadc06|2027784000
FAMILIES USA|18CFL006110|18CUA09279|09/17/2018|09/17/2018|1160095|C|09/24/2018|nadc06|2026283030
CONSUMER FINANCIAL SERVICES OF WAUKEGAN LLC|19CFL006206|14CUA07790|06/12/2019|05/17/2019|1380125|C|06/19/2019|nadc06|8476255626
SERVICE EMPLOYEES INTERNATIONAL UNION- UNITED HEALTHCARE WORKERS WEST|18CFL006105|18CUA09280|08/10/2018|08/10/2018|1150108|L|08/13/2018|nadc06|2134526565
NATIONAL EDUCATION ASSOCIATION|18CFL006179|06CUA03815|11/09/2018|11/09/2018|1210047|L|11/14/2018|nadc06|2028227035
SERVICE EMPLOYEES INTERNATIONAL UNION- UNITED HEALTHCARE WORKERS WEST|18CFL006181|18CUA09280|12/07/2018|12/10/2018|1210221|L|12/17/2018|nadc01|2134526565
EMPIRICAL TECHNOLOGY INC F/K/A BPI TECHNOLOGY|19CFL006202|18CUA09136|05/28/2019|05/31/2019|1380028|C|06/03/2019|nadc06|6052178000
