ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
322|Fraternal Order of Police Lodge #8|December|01/10/1997|03/10/1997|$300.00|REDUCED|$0.00|04/02/1997||
323|Fraternal Order of Police Lodge #8|April|05/10/1996|11/04/1996|$300.00|REDUCED|$0.00|12/01/1996||
324|Fraternal Order of Police Lodge #8|May|06/10/1996|11/04/1996|$300.00|REDUCED|$0.00|06/25/1997||
325|Fraternal Order of Police Lodge #8|August|09/10/1996|11/04/1996|$300.00|REDUCED|$0.00|12/01/1996||
326|Fraternal Order of Police Lodge #8|September|10/10/1996|11/04/1996|$250.00|REDUCED|$0.00|12/01/1996||
327|Fred's Heating & A/C, Inc.|January|02/10/1997|05/09/1997|$300.00|REDUCED||06/25/1997||
328|Fremont Chamber of Commerce|October|11/12/1996|12/26/1996|$300.00|REDUCED|$0.00|01/23/1997||
329|Fremont Keno, Inc.|June|07/10/1996|04/17/1997|$300.00|REDUCED|$0.00|05/09/1997||
330|Froehlich Properties|June|07/10/1997|02/12/1998|$300.00|REDUCED|$0.00|03/02/1998||
331|Froehlich Properties|October|11/10/1997|02/12/1998|$300.00|REDUCED|$0.00|03/02/1998||
332|Froehlich Properties|November|12/10/1997|02/12/1998|$300.00|REDUCED|$0.00|03/02/1998||
333|Fuch's Machinery|January|02/10/1997|04/28/1997|$300.00|REDUCED|$0.00|05/14/1997||
334|Fun Center, Inc. d/b/a Cedar Bowl|November|12/10/1997|02/20/1998|$300.00|REDUCED|$0.00|03/02/1998||
335|Furey Heating and Air Conditioning|January|02/10/1997|04/29/1997|$300.00|REDUCED|$0.00|05/14/1997||
336|F & F Oil Co., Inc.|October|11/10/1997|02/18/1998|$300.00|REDUCED|$0.00|03/02/1998||
337|FHC Options, Inc.|August|09/10/1996|10/21/1996|$300.00|PAID||||
338|Gary's Implement, Inc.|April|05/10/1996|05/26/1996|$300.00|PAID||08/05/1996||
339|Gas & Shop, Inc.|October|11/10/1997|02/03/1998|$300.00|PAID|$10.00|02/25/1998||
340|Gas & Shop, Inc.|December|01/10/1997|01/21/1997|$110.00|REDUCED|$0.00|03/17/1997||
341|Gazelle Communications, Inc.|October|11/12/1996|02/19/1997|$300.00|REDUCED|$0.00|03/12/1997||
342|General Drivers & Helpers Local 554|October|11/10/1996|09/29/1997|$300.00|PAID||||
343|Genls Incorporated|April|05/10/1996|08/12/1996|$300.00|REDUCED|$0.00|08/23/1996||
344|Gering State Bank & Trust Co.|April|05/10/1996|06/07/1996|$280.00|REDUCED|$0.00|06/19/1996||
345|Geschwender Real Estate|September|10/10/1996|01/31/1997|$300.00|REDUCED|$0.00|02/12/1997||
346|Geschwender Real Estate|October|11/12/1996|01/31/1997|$300.00|REDUCED|$0.00|02/12/1997||
347|Geschwender Relocation, Inc.|January|02/10/1998|02/11/1998|$10.00|REDUCED|$0.00|03/06/1998||
348|D J Getz Company|May|06/10/1996|07/29/1996|$300.00|REDUCED|$0.00|08/06/1996||
349|Gibraltar Packaging Group, Inc. d/b/a Great Plains Packaging|October|11/12/1996|03/18/1997|$300.00|REDUCED|$0.00|04/08/1997||
350|Gibreal Auto Leasing|July|08/10/1996|06/30/1997|$300.00|REDUCED|$0.00|08/19/1997||
351|Gilman Motor Company|October|11/12/1996|02/24/1997|$300.00|REDUCED|$0.00|03/13/1997||
352|Ginn Oil Company|June|07/10/1997|07/25/1997|$150.00|REDUCED|$0.00|08/26/1997||
353|Global Industries, Inc.|September|10/10/1996|01/08/1997|$300.00|REDUCED|$0.00|02/03/1997||
354|Global Industries, Inc.|October|11/12/1996|01/08/1997|$300.00|REDUCED|$0.00|02/03/1997||
355|Gooch Foods, Inc.|January|02/12/1998|04/27/1998|$300.00|PAID||||
356|Gothenburg Area Chamber of Commerce|October|11/12/1996|11/15/1996|$30.00|REDUCED|$0.00|01/09/1997||
357|Gottsch Feeding Corporation|October|11/10/1997|03/16/1998|$300.00|REDUCED|$0.00|03/27/1998||
358|Ted Grace Construction|April|05/12/1997|07/18/1997|$300.00|REDUCED|$0.00|08/01/1997||
359|Ted Grace Construction|May|06/10/1997|07/18/1997|$300.00|REDUCED|$0.00|08/01/1997||
360|Ted Grace Homes, Inc.|February|03/10/1997|07/18/1997|$300.00|REDUCED|$0.00|08/01/1997||
361|Ted Grace Homes, Inc.|March|04/10/1997|07/18/1997|$300.00|REDUCED|$0.00|08/01/1997||
362|Grand Island Trust & Financial Services|October|11/12/1996|11/14/1996|$20.00|REDUCED|$0.00|01/02/1997||
363|Great Plains Communications|February|03/10/1998|03/24/1998|$140.00|PAID||||
364|Great Plains Communications|January|02/10/1998|02/24/1998|$140.00|PAID||||
365|Great Plains Communications|August|09/10/1997|02/18/1998|$300.00|PAID||||
366|Great Plains Communications|October|11/10/1997|11/20/1997|$100.00|PAID||||
367|Great Plains Communications|November|12/10/1996|05/08/1997|$300.00|REDUCED|$0.00|06/17/1997||
368|Great Plains Communications|December|01/10/1997|05/08/1997|$300.00|REDUCED|$0.00|06/17/1997||
369|Great Plains Communications|February|03/10/1997|05/08/1997|$0.00|PAID|$10.00|06/17/1997||
370|united airlines|July|08/12/1996|02/19/1997|$300.00|REDUCED|$0.00|04/21/1997||
371|Great Plains Communications|October|11/12/1996|02/19/1997|$300.00|REDUCED|$0.00|04/21/1997||
372|Great Plains Communications|January|02/10/1997|02/14/1997|$40.00|REDUCED|$0.00|04/21/1997||
373|Great Plains Energy Corp|February|03/10/1997|04/17/1997|$300.00|PAID||||
374|Great Plains Energy Corp.|March|04/10/1997|04/17/1997|$70.00|PAID||||
375|Greater Fremont Development Council|October|11/12/1996|12/26/1996|$300.00|REDUCED|$0.00|01/23/1997||
376|Greater Omaha Chamber of Commerce|February|03/10/1997|04/16/1997|$300.00|PAID||||
377|Greater Omaha Chamber of Commerce|March|04/10/1997|04/16/1997|$60.00|PAID||||
378|Greater Omaha Chamber of Commerce|August|09/10/1996|10/01/1996|$210.00|PAID||||
379|Greater Omaha Packing |January|05/10/1996|05/02/1997|$300.00|REDUCED|$0.00|05/14/1997||
380|Griffiths-Hovendick Chapel, Inc.|January|12/10/1997|12/16/1997|$60.00|REDUCED|$0.00|02/04/1998||
381|Grube Chrysler Plymouth, Inc.|October|11/12/1996|11/14/1996|$20.00|PAID||||
382|Grunwald Mechanical Contractors, Inc.|March|04/10/1997|04/24/1997|$130.00|PAID|$10.00|04/29/1997||
383|Grunwald Mechanical Contractos|March|04/10/1997|04/24/1997|$140.00|PAID|$10.00|04/29/1997||
384|Grunwald Mechanical Contractors|April|05/10/1996|05/16/1996|$60.00|REDUCED|$0.00|06/19/1996||
385|HDR, Inc.|March|04/10/1998|04/29/1998|$190.00|REDUCED|$0.00|05/12/1998||
386|HWS Consulting Group, Inc.|January|02/10/1997|04/16/1997|$300.00|REDUCED|$0.00|05/09/1997||
387|HWS Consulting Group, Inc.|February|03/10/1997|04/16/1997|$300.00|REDUCED|$0.00|05/09/1997||
388|HWS Consulting Group, Inc.|March|04/10/1997|04/16/1997|$60.00|REDUCED|$0.00|05/09/1997||
389|T.O. Hass Tire Co., Inc.|February|03/10/1997|06/09/1998|$300.00|REDUCED|$0.00|06/23/1998||
390|T.O. Haas Tire Co., Inc.|May|06/10/1997|06/09/1998|$300.00|REDUCED|$0.00|06/23/1998||
391|Hall County Livestock Improvement Association|May|06/10/1997|06/13/1997|$0.00|REDUCED|$0.00|08/08/1997||
392|Hamilton County Farm Bureau|October|11/12/1996|11/14/1996|$20.00|REDUCED|$0.00|01/02/1997||
393|Hamilton-Chevrolet-Cadillac, BMW|August|09/10/1997|04/22/1998|$300.00|PAID||||
394|Hamilton-Chevrolet-Cadillac, BMW|July|08/10/1997|03/17/1998|$300.00|PAID||||
395|Hamilton-Chevrolet, Cadillac, BMW|September|10/10/1996|10/24/1996|$140.00|PAID||||
396|Hamilton Equipment Co.|April|05/10/1996|06/07/1996|$280.00|REDUCED|$0.00|06/25/1996||
397|Hampton Development Services, Inc.|May|06/10/1997|04/13/1998|$300.00|REDUCED|$0.00|04/29/1998||
398|Hampton Development Services, Inc.|July|08/11/1997|04/13/1998|$300.00|REDUCED|$0.00|04/29/1998||
399|Hampton Development Services, Inc.|December|01/12/1998|04/13/1998|$300.00|REDUCED|$0.00|04/29/1998||
400|Hampton Development Services, Inc.|February|03/10/1997|04/13/1998|$300.00|REDUCED|$0.00|04/29/1998||
401|Hampton Development Services, Inc.|March|04/10/1997|04/13/1998|$300.00|REDUCED|$0.00|04/29/1998||
402|Hampton Development Services, Inc.|April|05/12/1997|04/13/1998|$300.00|REDUCED|$0.00|04/29/1998||
403|Hampton Development Services, Inc.|June|07/10/1997|04/13/1998|$300.00|REDUCED|$0.00|04/29/1998||
404|Hanna Corporation|April|05/12/1997|09/16/1997|$300.00|PAID|$10.00|09/29/1997||
405|Hanna Corporation|October|11/12/1996|12/10/1996|$280.00|REDUCED|$0.00|01/23/1997||
406|Hansen, Engles & Locher, PC|April|05/10/1996|10/07/1996|$300.00|REDUCED|$0.00|10/23/1996||
407|Hansen, Engels & Locher, PC|July|08/10/1996|10/07/1996|$300.00|REDUCED|$0.00|10/29/1996||
408|Harlan County Farm Bureau|October|11/12/1996|11/14/1996|$20.00|REDUCED|$0.00|01/02/1997||
409|Hart Livestock, Inc.|February|03/10/1998|04/07/1998|$280.00|REDUCED|$0.00|04/27/1998||
410|Hauptman, O'Brien, Wolf & Lathrop|August|09/10/1996|11/06/1996|$300.00|REDUCED|$0.00|01/02/1997||
411|Hauptman, O'Brien, Wolf & Lathrop|September|10/10/1996|11/06/1996|$270.00|REDUCED|$0.00|01/02/1997||
412|Hawkins Construction Company|January|02/10/1998|02/17/1998|$70.00|PAID||||
413|Hawkins Construction Company|March|04/10/1997|04/18/1997|$80.00|REDUCED|$0.00|05/09/1997||
414|Health Care Suppliers, Inc.|January|02/10/1997|04/30/1997|$300.00|PAID||||
415|Hendricks/Sempeck II|July|08/10/1996|10/11/1996|$300.00|REDUCED|$0.00|10/23/1996||
416|Heritage Builders, Inc.|February|03/10/1997|05/07/1997|$300.00|REDUCED|$0.00|06/09/1997||
417|Herpolsheimer's Inc.|October|11/12/1996|11/15/1996|$30.00|REDUCED|$0.00|01/02/1997||
418|J H Hespe Co., Inc.|October|11/12/1996|01/07/1997|$300.00|REDUCED|$0.00|01/29/1997||
419|R.W. Hicks Construction Co.|March|04/10/1997|05/11/1997|$300.00|REDUCED|$0.00|08/26/1997||
420|R.W. Hicks Construction Co.|April|05/12/1997|08/11/1997|$300.00|REDUCED|$0.00|08/26/1997||
421|Hinky Dinkey Supermarkets, Inc.|December|01/10/1997|01/16/1997|$60.00|REDUCED|$0.00|02/03/1997||
422|Holen Land & Cattle, Inc.|February|03/10/1998|05/28/1998|$300.00|REDUCED|$0.00|06/09/1998||
423|Holnam, Inc.|April|05/10/1996|09/16/1996|$300.00|REDUCED|$0.00|09/27/1996||
424|Home Real Estate (Lincoln)|January|02/10/1998|02/18/1998|$80.00|PAID|$10.00|03/06/1998||
425|Home Real Estate (Lincoln)|February|03/10/1997|03/14/1997|$40.00|REDUCED|$0.00|04/04/1997||
426|Home Real Estate (Omaha)|March|04/10/1997|04/22/1997|$120.00|REDUCED|$0.00|05/30/1997||
427|Home State Bank|February|03/10/1998|06/10/1998|$300.00|REDUCED|$0.00|07/01/1998||
428|Home State Bank|April|05/11/1998|06/10/1998|$300.00|REDUCED|$0.00|07/01/1998||
429|Hoppe, Inc.|October|11/12/1996|11/20/1996|$80.00|REDUCED|$0.00|01/09/1997||
430|Howard County Land & Cattle|September|10/10/1997|11/10/1997|$300.00|RED/PAID|$10.00|11/19/1997|12/15/1998|
1|Goldenrod|April|05/11/1998|06/25/1998|$300.00|REDUCED||||$13.69
2|A T & T|May|06/10/1998|07/10/1998|$300.00|PAID|||12/14/1998|
3|Benson Transfer & Storage Co.|January|02/10/1998|03/26/1998|$300.00|REDUCED|$0.00|05/19/1999||
4|Benson Transfer & Storage Co.|December|01/12/1998|03/26/1998|$300.00|REDUCED|$0.00|06/25/1999||
5|Blazek & Associates|January|02/10/1997|04/23/1997|$300.00|PAID|||03/22/2000|
6|Construction Sciences, Inc.|May|06/10/1997|08/21/1997|$300.00|REDUCED|$0.00|07/23/2001||
8|HDR, Inc.|May|06/10/1998|07/09/1998|$290.00|RED/PAID|$10.00|08/05/1998|08/05/1998|
9|Kirkpatrick Pettis|April|05/11/1998|05/18/1998|$70.00|PAID|$10.00|03/14/2000|03/14/2000|
10|Kirkpatrick Pettis|May|06/10/1998|06/22/1998|$120.00|PAID||||
12|Nebraska Farm Bureau Federation|June|07/10/1998|07/17/1998|$70.00|RED/PAID|$10.00|08/05/1998|08/05/1998|
14|Greater Omaha Chamber of Commerce|June|07/10/1998|07/14/1998|$40.00|RED/PAID|$10.00|08/13/1998|08/13/1998|
15|Alfred G. Thomsen|April|05/10/1996|05/30/1996|$200.00|REDUCED|$0.00|03/25/2002||
16|United Steelworkers of America #286|January|05/12/1997|09/17/1997|$300.00|PAID|$10.00|10/02/1997||
17|A-1 United Heating & Air Conditioner|January|01/30/1997|04/23/1997|$300.00|REDUCED|$0.00|05/08/1997||
18|A-1 United Heating & Air Conditioner|March|04/10/1997|04/24/1997|$140.00|REDUCED|$0.00|05/08/1997||
19|A & S Concrete Recycling|March|04/10/1997|04/15/1997|$50.00|REDUCED|$0.00|05/06/1997||
20|ABC Construction Company, Inc.|April|05/10/1996|06/05/1996|$260.00|REDUCED|$0.00|06/19/1996||
21|AGT, Inc.|May|06/10/1996|08/01/1996|$300.00|REDUCED|$0.00|08/07/1996||
22|Abbott Parking, Inc.|April|05/12/1997|08/21/1997|$300.00|REDUCED|$10.00|09/19/1997||
23|Abbott Parking, Inc.|January|02/10/1997|05/23/1997|$300.00|REDUCED|$0.00|06/03/1997||
24|Abbott Parking, Inc.|February|03/10/1997|05/23/1997|$300.00|REDUCED|$0.00|06/03/1997||
25|Abbott Parking, Inc.|March|04/10/1997|05/23/1997|$300.00|REDUCED|$0.00|06/03/1997||
26|Abbott Parking, Inc.|April|05/12/1997|05/23/1997|$110.00|REDUCED|$0.00|06/03/1997||
27|Able Professional Movers, Inc.|May|06/10/1996|07/18/1996|$300.00|REDUCED|$0.00|08/06/1996||
28|Abraham Catering Service, Inc.|April|05/11/1998|06/08/1998|$280.00|REDUCED|$0.00|07/01/1998||
29|Accent Service Company|September|10/10/1996|10/22/1996|$120.00|REDUCED|$0.00|01/02/1997||
30|Account Recovery, Inc.|May|06/10/1996|08/13/1996|$300.00|REDUCED|$0.00|10/24/1996||
31|Acceptance Insurance Companies, Inc.|October|11/12/1996|12/13/1996|$300.00|PAID||||
32|Acceptance Insurance Companies, Inc.|August|09/10/1996|11/07/1996|$300.00|PAID||||
33|Acton Group, LTD.|August|09/10/1997|02/17/1998|$300.00|PAID||||
34|Affiliated Foods Cooperative, Inc.|November|12/10/1997|04/16/1998|$300.00|PAID||||
35|Affiliated Foods Cooperative, Inc.|August|09/10/1997|02/27/1998|$300.00|REDUCED|$10.00|03/16/1998||
36|Affiliated Foods Cooperative, Inc.|October|11/12/1996|11/22/1996|$100.00|REDUCED|$0.00|01/03/1997||
37|Ag Processing, Inc.|January|02/10/1997|04/15/1998|$300.00|PAID||||
38|Ag Processing, Inc.|October|11/10/1997|01/12/1998|$300.00|PAID||||
39|Ag Processing, Inc.|December|01/10/1997|02/21/1997|$300.00|REDUCED|$10.00|04/20/1997||
40|Ag Processing, Inc.|November|12/10/1996|02/05/1997|$300.00|REDUCED|$0.00|03/25/1997||
41|Agricultural Services, Inc.|April|05/11/1998|06/10/1998|$300.00|REDUCED|$0.00|06/23/1998||
42|Agrow, Inc.|February|03/10/1998|04/06/1998|$270.00|REDUCED|$0.00|04/27/1998||
43|Ahren's Inc. d/b/a Eddie's Catering|March|04/10/1997|06/23/1997|$300.00|REDUCED|$0.00|08/01/1997||
44|Ahren's, Inc.d/b/a Eddie's Catering|April|05/12/1997|06/23/1997|$300.00|REDUCED|$0.00|08/01/1997||
45|Aksarben Heating|October|11/11/1996|04/03/1997|$300.00|REDUCED|$0.00|05/15/1997||
46|Ak-Sar-Ben Petroleum Corporation|December|01/12/1998|03/09/1998|$300.00|REDUCED|$0.00|03/23/1998||
47|AL Ranch Company, Inc.|April|05/11/1998|05/28/1998|$170.00|REDUCED|$0.00|06/17/1998||
48|All American Meats, Inc.|April|05/12/1997|05/16/1997|$40.00|REDUCED|$0.00|06/11/1997||
49|All Makes Office Equipment|November|12/10/1997|04/22/1998|$300.00|PAID||||
50|All Makes Office Equipment|July|08/10/1997|04/02/1998|$300.00|PAID||||
51|All Makes Office Equipment|April|05/10/1996|05/16/1996|$60.00|PAID||||
52|All Makes Office Equipment|April|05/10/1996|05/16/1996|$60.00|PAID||||
53|Allen Oil & Propane, Inc.|October|11/12/1996|01/31/1997|$300.00|REDUCED|$0.00|03/19/1997||
54|Allied Securities, Inc.|November|12/10/1996|01/23/1997|$300.00|REDUCED|$0.00|02/07/1997||
55|Allmand Brothers, Inc.|March|04/10/1998|06/15/1998|$300.00|REDUCED|$0.00|07/01/1998||
56|Allmand Brothers, Inc.|April|05/11/1998|06/15/1998|$300.00|REDUCED|$0.00|07/01/1998||
57|Ambassador Investigative Group, Inc.|February|03/10/1998|05/13/1998|$300.00|REDUCED|$0.00|06/09/1998||
58|Ambassador Investigative Group, Inc.|April|05/11/1998|05/13/1998|$20.00|REDUCED|$0.00|06/09/1998||
59|America West Airlines|April|05/11/1998|05/18/1998|$70.00|REDUCED|$0.00|||
60|American Communications Group, Inc.|February|03/10/1998|04/10/1998|$300.00|PAID||||
61|American Communications Group|October|11/10/1997|11/12/1997|$20.00|PAID||||
62|American Communications Group|February|03/10/1997|08/15/1997|$300.00|PAID||||
63|American Communications Group|July|08/11/1997|08/15/1997|$40.00|PAID||||
64|American Communications Group|October|11/12/1996|11/21/1996|$90.00|PAID||||
65|American Communications Group|April|05/10/1996|06/07/1996|$280.00|REDUCED|$0.00|07/09/1996||
66|American Consulting Engineers|November|12/10/1997|05/29/1997|$300.00|REDUCED|$0.00|06/12/1997||
67|American Exchange Bank|September|10/10/1996|11/21/1996|$300.00|REDUCED|$0.00|01/03/1997||
68|American Federation of State, County and Municipal Employees|April|05/10/1996|05/16/1996|$60.00|PAID||||
69|American Title Insurance Companies|April|05/11/1998|06/12/1998|$300.00|REDUCED|$0.00|06/23/1998||
70|American Investment Corp.|April|05/10/1996|09/09/1996|$300.00|REDUCED|$0.00|09/27/1996||
71|Ameritas Investment |January|06/10/1996|09/09/1996|$300.00|REDUCED|$0.00|09/27/1996||
72|H E Anderson Investment Corporation|May|06/10/1996|07/09/1996|$290.00|REDUCED|$0.00|08/05/1996||
73|Anderson, Creager, Wittstruck, PC|October|11/12/1996|01/30/1997|$300.00|REDUCED|$0.00|03/17/1997||
74|Anderson Management|March|04/10/1997|06/10/1997|$300.00|REDUCED|$0.00|06/25/1997||
75|Anderson Partners, Inc.|December|01/12/1998|01/16/1998|$40.00|REDUCED|$0.00|02/04/1998||
76|Scott Anderson Group|February|03/10/1997|06/18/1997|$300.00|REDUCED|$0.00|06/27/1997||
77|Scott Anderson Group|March|04/10/1997|06/18/1997|$300.00|REDUCED|$0.00|06/27/1997||
78|Andrews Van Lines, Inc.|May|06/10/1996|06/27/1996|$170.00|PAID||07/31/1996||
79|Angelina's Inc, d/b/a Angie's Restaurant|March|04/10/1997|05/07/1997|$270.00|REDUCED|$0.00|06/03/1997||
80|Anheuser Busch Companies|January|10/10/1996|10/15/1996|$50.00|REDUCED|$0.00|11/06/1996||
81|Antelope Creek Cattle Co.|June|07/10/1997|07/30/1997|$200.00|REDUCED|$0.00|08/08/1997||
82|Apollo Building Corporation|April|05/12/1997|06/09/1997|$280.00|REDUCED|$0.00|07/28/1997||
83|Archer Daniels Midland Company|August|09/10/1996|11/12/1996|$300.00|PAID||||
84|Arjay Construction Company|February|03/10/1998|04/06/1998|$270.00|REDUCED|$0.00|04/27/1998||
85|Arps Red-E-Mix, Inc.|August|09/10/1997|03/06/1998|$300.00|REDUCED|$0.00|03/16/1998||
86|Art Jetter & Company|September|10/10/1997|04/03/1998|$300.00|REDUCED|$0.00|04/10/1998||
87|Art Jetter & Company|November|12/10/1997|04/03/1998|$300.00|REDUCED|$0.00|04/10/1998||
88|Asbestos Workers Local #39|March|04/10/1997|01/14/1998|$300.00|REDUCED|$0.00|01/26/1998||
89|Asbestos Workers Local #39|May|06/10/1997|01/14/1998|$300.00|REDUCED|$0.00|01/26/1998||
90|Asbestos Workers Local #39|October|11/10/1996|01/14/1998|$300.00|REDUCED|$0.00|01/26/1998||
91|Asbestos Workers Local #39|June|07/10/1996|01/11/1949|$300.00|REDUCED|$0.00|01/26/1998||
92|Ash Grove Cement Company|January|03/10/1997|03/14/1997|$40.00|RED/PAID|$10.00|05/06/1997||
93|Ash Grove Cement Company|May|06/10/1996|07/01/1996|$210.00|REDUCED|$0.00|08/05/1996||
94|Associated Appraisers, Inc.|September|10/10/1996|03/06/1997|$300.00|REDUCED|$0.00|04/02/1997||
95|Atchley Ford, Inc.|January|02/10/1997|05/20/1997|$300.00|REDUCED|$0.00|06/12/1997||
96|Atchley Ford, Inc.|January|05/12/1997|05/20/1997|$80.00|RED/PAID|$10.00|06/12/1997||
97|Atchley Ford, Inc.|September|10/10/1996|10/22/1996|$120.00|REDUCED|$0.00|11/26/1996||
