Contributor Name|Form B9 ID|Form ID|Recipient ID|Support/Oppose|Nature of Expenditure|Expenditure Date|Previous Total|Amount|Total|Description|Entry Date|Recipient Name
CIVIC PARTICIPATION ACTION FUND|16CFL005918|16CFL005919|16BQC00427|O|A|08/12/2016|250000|250000|500000||09232016153502471|RETAIN A JUST NEBRASKA
COAST CASINOS, INC.|05CFL1|05CFL1|99BQC00090|S|D|10/19/2004||465000|465000||0401200512500112080|KEEP THE MONEY IN NEBRASKA COMM., INC.(DISSOLVED)
COAST CASINOS, INC.|05CFL1|05CFL1|99BQC00090|S|D|10/21/2004||100000|100000||0401200514315523205|KEEP THE MONEY IN NEBRASKA COMM., INC.(DISSOLVED)
COAST CASINOS, INC.|05CFL1|05CFL1|99BQC00090|S|D|10/26/2004||125000|125000||040120051432269778|KEEP THE MONEY IN NEBRASKA COMM., INC.(DISSOLVED)
COAST CASINOS, INC.|05CFL1|05CFL1|99BQC00090|S|D|10/26/2004||200000|200000||040120051433309887|KEEP THE MONEY IN NEBRASKA COMM., INC.(DISSOLVED)
COAST CASINOS, INC.|05CFL1|05CFL1|99BQC00090|S|D|10/28/2004||80000|80000||0401200514325223306|KEEP THE MONEY IN NEBRASKA COMM., INC.(DISSOLVED)
COLORADO AT ITS BEST|06CFL000512|06CFL000517|06BQC00139|S|A|06/26/2006||60000|60000||0710200607431219071|COMMITTEE FOR STATE STEWARDSHIP
COLORADO AT ITS BEST|06CFL001364|06CFL001365|06BQC00139|S|A|09/11/2006|50000||50000||1016200615395627321|COMMITTEE FOR STATE STEWARDSHIP
COMCAST CORPORATION|14CFL005326|14CFL005327|99CAC00562|S|A|02/11/2014|0|5000|5000||0623201413213627330|BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)
COMCAST CORPORATION|14CFL005326|14CFL005328|14CAC01875|S|A|04/03/2014||1500|1500||0623201413215826451|FRIENDS OF MIKE HILGERS - ATTORNEY GENERAL (DISSOL
COMCAST CORPORATION|14CFL005326|14CFL005329|14CAC01867|S|A|05/06/2014||5000|5000||0623201413222027496|BRUNING FOR GOVERNOR
COMCAST CORPORATION|14CFL005430|14CFL005431|14FIS12885|S|A|10/24/2014||2000|2000||1106201411151810214|DOUGLAS J PETERSON
COMMUNITY LEADERS OF AMERICA 46-3149989|17CFL006023|17CFL006024|12CAC01691|S|A|04/19/2017|0|25000|25000||0508201711163110027|JEAN STOTHERT FOR OMAHA
CONKLIN COMPANY, INC.|14CFL005387|14CFL005388|13CAC01828|S|A|09/25/2014||10000|10000||101420141102025200|PETE RICKETTS FOR GOVERNOR
CONSUMER FINANCIAL SERVICES OF WAUKEGAN LLC|14CFL005330|14CFL005331|13CAC01828|S|A|03/01/2014||10000|10000|none listed|0624201410515614818|PETE RICKETTS FOR GOVERNOR
CONSUMER FINANCIAL SERVICES OF WAUKEGAN LLC|14CFL005346|14CFL005347|13FIS12708|S|A|08/13/2014|10000|10000|20000|Non listed|091020141116559757|JOHN PETER  RICKETTS
CONSUMER FINANCIAL SERVICES OF WAUKEGAN LLC|19CFL006206|19CFL006207|13CAC01828|S|A|11/05/2018||15000|15000||0612201910204926990|PETE RICKETTS FOR GOVERNOR
DEVON ENERGY|14CFL005342|14CFL005343|13CAC01828|S|A|07/14/2014||10000|10000||081320141036371877|PETE RICKETTS FOR GOVERNOR
EMPIRICAL TECHNOLOGY INC F/K/A BPI TECHNOLOGY|19CFL006202|19CFL006203|13CAC01828|S|A|10/10/2017|0|20000|20000||0531201910150912824|PETE RICKETTS FOR GOVERNOR
EMPIRICAL TECHNOLOGY INC F/K/A BPI TECHNOLOGY|19CFL006202|19CFL006204|13CAC01828|S|A|11/28/2017|0|5000|5000||0531201910154611306|PETE RICKETTS FOR GOVERNOR
EMPIRICAL TECHNOLOGY INC F/K/A BPI TECHNOLOGY|19CFL006202|19CFL006205|99PPC00002|S|A|09/18/2018||100000|100000||0531201910171510162|NE REPUBLICAN PARTY
EQUAL JUSTICE USA|15CFL005822|15CFL005823|15BQC00420|S|B|09/30/2015||15249.65|15249.65|services provided: strategy consulting, capacity building|1020201509433220690|NEBRASKANS FOR PUBLIC SAFETY
EQUAL JUSTICE USA|15CFL005825|15CFL005826|15BQC00420|S|B|10/31/2015|15249.65|6284.62|21534.27||1110201513252521421|NEBRASKANS FOR PUBLIC SAFETY
EQUAL JUSTICE USA|15CFL005827|15CFL005828|15BQC00420|S|B|10/31/2015|15249.65|6284.62|21534.27|services provided, capacity building, strategy consulting|1113201510065329361|NEBRASKANS FOR PUBLIC SAFETY
EQUAL JUSTICE USA|15CFL005839|15CFL005840|15BQC00420|S|B|11/30/2015|215324.18|10141.51|225465.69|Services provided: capacity building, strategic consulting|120820150943281906|NEBRASKANS FOR PUBLIC SAFETY
EQUAL JUSTICE USA|16CFL005847|16CFL005848|15BQC00420|S|B|12/31/2015|31675.69|12882.78|44558.47|SERVICES PROVIDED: CAPACITY BUILDING, CONSULTING.|011120161449596511|NEBRASKANS FOR PUBLIC SAFETY
EQUAL JUSTICE USA|16CFL005855|16CFL005856|16BQC00427|S|B|02/29/2016||611.69|611.69|SERVICES PROVIDED:  CAPACITY BUILDING, STRATEGIC CONSULTING|031520161611248317|RETAIN A JUST NEBRASKA
EQUAL JUSTICE USA|16CFL005857|16CFL005858|15BQC00420|S|B|02/26/2016||21735.51|21735.51|SERVICES PROVIDED:  CAPACITY BUILDING, STRATEGIC CONSULTING. NOTE:  DID NOT REACH 10000 CALENDAR YEAR REPORTING THRESHOLD THROUGH JAN 31, 20106|0316201608110818445|NEBRASKANS FOR PUBLIC SAFETY
EQUAL JUSTICE USA|16CFL005866|16CFL005867|16BQC00427|S|B|03/31/2016|611.69|15398.83|16010.52|capacity building, strategic consulting|0413201615353329666|RETAIN A JUST NEBRASKA
EQUAL JUSTICE USA|16CFL005871|16CFL005873|16BQC00427|S|B|04/30/2016|16010.52|10345.67|26356.19|SERVICES PROVIDED:  CAPACITY BUILDING, STRATEGIC CONSULTING|0512201613520432011|RETAIN A JUST NEBRASKA
EQUAL JUSTICE USA|16CFL005877|16CFL005878|16BQC00427|S|B|05/31/2016|26356.09|11937.17|38293.26|SERVICES PROVIDED: CAPACITY BUILDING, STRATEGIC CONSULTING|061320161611483443|RETAIN A JUST NEBRASKA
EQUAL JUSTICE USA|16CFL005901|16CFL005902|16BQC00427|S|B|06/30/2016|38293.26|15911.47|54204.73|SERVICES PROVIDED: CAPACITY BUILDING, STRATEGIC CONSULTING|0714201610063117505|RETAIN A JUST NEBRASKA
EQUAL JUSTICE USA|16CFL005905|16CFL005906|16BQC00427|S|B|07/31/2016|54204.73|19209.9|73414.63|SERVICES PROVIDED: CAPACITY BUILDING, STRATEGIC CONSULTING|0816201609523417857|RETAIN A JUST NEBRASKA
EQUAL JUSTICE USA|16CFL005916|16CFL005917|16BQC00427|S|B|08/31/2016|73414.63|21940.85|95355.48|capacity building, strategic consulting|0920201610502121948|RETAIN A JUST NEBRASKA
EQUAL JUSTICE USA|16CFL005923|16CFL005924|16BQC00427|S|B|09/30/2016|95355.48|24278.48|119633.96|Services provided: capacity building, travel, strategic consulting.|1017201608215816314|RETAIN A JUST NEBRASKA
EQUAL JUSTICE USA|16CFL005975|16CFL005976|16BQC00427|S|B|10/30/2016|119634.47|21036.67|140671.14||111520161108426054|RETAIN A JUST NEBRASKA
EQUAL JUSTICE USA|16CFL005992|16CFL005993|16BQC00427|S|B|11/30/2016|140671.14|23748.18|164419.32|SERVICES PROVIDED: CAPACITY BUILDING, STRATEGIC CONSULTING|122020160954159663|RETAIN A JUST NEBRASKA
FAMILIES USA|18CFL006110|18CFL006111|18BQC00462|S|A|06/27/2018||100000|100000||0917201814060416216|INSURE THE GOOD LIFE
FORT MCDOWELL YAVAPAI NATION|06CFL000408|06CFL000409|06BQC00131|S|A|04/26/2006|0|250000|250000||0511200611303217564|NEBRASKANS FOR LOCAL COMMUNITY AND TRIBAL SELF-REL
HERBALIFE INTERNATIONAL OF AMERICA, INC.|14CFL005332|14CFL005333|14CAC01867|S|A|03/19/2014||15000|15000||070220140801329591|BRUNING FOR GOVERNOR
INTERNATIONAL ASSN OF FIRE FIGHTERS  91-2081258 |11CFL004753|11CFL004754|05CAC00747|S|A|08/10/2011|0|5000|5000||0914201108512121908|LATHROP FOR LEGISLATURE (DISSOLVED)
INTERNATIONAL ASSN OF FIRE FIGHTERS  91-2081258 |11CFL004753|11CFL004755|07CAC01063|S|A|08/10/2011|0|5000|5000||0914201108514312018|FRIENDS FOR HEATH MELLO (DISSOLVED 2016 INACTIVE)
INTERNATIONAL ASSN OF FIRE FIGHTERS  91-2081258 |11CFL004753|11CFL004756|07CAC01035|S|A|08/10/2011|0|5000|5000||0914201108591112605|NORDQUIST FOR LEGISLATURE
INTERNATIONAL ASSN OF FIRE FIGHTERS  91-2081258 |11CFL004753|11CFL004757|08CAC01089|S|A|08/10/2011|0|5000|5000||0914201108594212645|KEN HAAR FOR LEGISLATURE
INTERNATIONAL ASSN OF FIRE FIGHTERS  91-2081258 |11CFL004753|11CFL004758|08CAC01106|S|A|08/10/2011|0|5000|5000||0914201109000612709|COMMITTEE TO ELECT BRENDA COUNCIL
MACLEAN-FROGG|14CFL005350|14CFL005351|13CAC01828|S|A|08/26/2014|0|25000|25000||091120141044572813|PETE RICKETTS FOR GOVERNOR
NATIONAL BEER WHOLESALERS ASSOCIATION|15CFL005772|15CFL005774|13CAC01828|S|A|07/22/2014||1000|1000|NOT LISTED|0415201514033918357|PETE RICKETTS FOR GOVERNOR
NATIONAL BEER WHOLESALERS ASSOCIATION|15CFL005772|15CFL005775|14CAC01866|S|A|07/22/2014||500|500|NOT LISTED|0415201514062529473|DOUG PETERSON FOR ATTORNEY GENERAL
NATIONAL EDUCATION ASSOCIATION|06CFL000518|06CFL000519|06BQC00138|S|A|06/27/2006||20000|20000||0711200607373926364|NEBRASKANS FOR THE GOOD LIFE 
NATIONAL EDUCATION ASSOCIATION|06CFL002221|06CFL002222|06BQC00138|S|A|10/03/2006|20000|250000|270000||1109200613064927482|NEBRASKANS FOR THE GOOD LIFE 
NATIONAL EDUCATION ASSOCIATION|06CFL002221|06CFL002223|06BQC00138|S|A|10/04/2006|270000|30500|300500||1109200613072027517|NEBRASKANS FOR THE GOOD LIFE 
NATIONAL EDUCATION ASSOCIATION|06CFL002221|06CFL002224|06BQC00138|S|A|10/20/2006|300500|500000|800500||1109200613075127581|NEBRASKANS FOR THE GOOD LIFE 
NATIONAL EDUCATION ASSOCIATION|06CFL002221|06CFL002225|06BQC00138|S|A|10/20/2006|800500|18000|818500||110920061308162237|NEBRASKANS FOR THE GOOD LIFE 
NATIONAL EDUCATION ASSOCIATION|06CFL002221|06CFL002226|06BQC00138|S|A|10/27/2006|818500|18000|836500||110920061308352264|NEBRASKANS FOR THE GOOD LIFE 
NATIONAL EDUCATION ASSOCIATION|08CFL002750|08CFL002751|08BQC00186|O|A|08/07/2008||25000|25000|None|0818200810371015854|NEBRASKANS UNITED (DISSOLVED)
NATIONAL EDUCATION ASSOCIATION|14CFL005389|14CFL005390|14BQC00382|S|A|09/29/2014||100000|100000||1015201416235415749|NEBRASKANS FOR BETTER WAGES (DISSOLVED)
NATIONAL EDUCATION ASSOCIATION|18CFL006179|18CFL006180|18BQC00462|S|A|10/16/2018||100000|100000||1109201816321126615|INSURE THE GOOD LIFE
NEA FUND FOR CHILDREN & PUBLIC EDUCATION|10CFL004336|10CFL004337|05CAC00722|S|A|10/21/2009||10000|10000|None|0302201016133518722|GOVERNOR HEINEMAN COMMITTEE
NEA FUND FOR CHILDREN & PUBLIC EDUCATION|10CFL004336|10CFL004338|99PPC00003|S|A|11/16/2009||5000|5000|None|0302201016135818813|NE DEMOCRATIC PARTY
NEW APPROACH PAC|19CFL006226|19CFL006228|18BQC00475|S|A|05/28/2019|0|10000|10000||0809201910360012750|NEBRASKANS FOR SENSIBLE MARIJUANA LAWS
NEW APPROACH PAC|19CFL006226|19CFL006229|18BQC00475|S|A|07/17/2019|0|15000|15000||0809201910364414304|NEBRASKANS FOR SENSIBLE MARIJUANA LAWS
OPEN SOCIETY POLICY CENTER|16CFL005879|16CFL005880|16BQC00427|S|A|06/07/2016||250000|250000||062120161409373601|RETAIN A JUST NEBRASKA
OPEN SOCIETY POLICY CENTER|16CFL005897|16CFL005898|16BQC00427|S|A|06/20/2016|250000|125000|375000||0711201611533018309|RETAIN A JUST NEBRASKA
OPEN SOCIETY POLICY CENTER|16CFL005914|16CFL005915|16BQC00427|S|A|08/17/2016|375000|125000|500000||0912201612591612615|RETAIN A JUST NEBRASKA
OTB ARIZONA, LLC (NE)|14CFL005308|14CFL005309|13CAC01828|S|A|04/15/2014|15800||15800||050520140830345710|PETE RICKETTS FOR GOVERNOR
OTB ARIZONA, LLC (NE)|14CFL005334|14CFL005335|13CAC01828|S|A|06/17/2014||10000|10000||0714201411342328313|PETE RICKETTS FOR GOVERNOR
OTB ARIZONA, LLC (NE)|14CFL005348|14CFL005349|13FIS12708|S|A|08/23/2014|25800|10000|35800|None Listed|0910201411203923930|JOHN PETER  RICKETTS
PEPPER COMPANIES, THE|14CFL005352|14CFL005353|13CAC01828|S|A|08/13/2014|5000|5000|10000|not listed|0912201410500812403|PETE RICKETTS FOR GOVERNOR
PROTEUS ACTION LEAGUE|15CFL005803|15CFL005810|15BQC00420|S|A|06/12/2015||400000|400000||0714201511422511740|NEBRASKANS FOR PUBLIC SAFETY
PROTEUS ACTION LEAGUE|15CFL005829|15CFL005835|15BQC00420|S|A|10/16/2015|400000|200500|600500|NOT LISTED|1113201511293423817|NEBRASKANS FOR PUBLIC SAFETY
PROTEUS ACTION LEAGUE|16CFL005859|16CFL005865|16BQC00427|S|A|03/11/2016||250000|250000||0412201611100912302|RETAIN A JUST NEBRASKA
PROTEUS ACTION LEAGUE|16CFL005967|16CFL005968|16BQC00427|O|A|10/05/2016|250000|100000|350000||1114201615341614384|RETAIN A JUST NEBRASKA
PROTEUS ACTION LEAGUE|16CFL005967|16CFL005969|16BQC00427|O|A|10/18/2016|350000|400000|750000||1114201615351829776|RETAIN A JUST NEBRASKA
REPUBLICAN GOVERNORS ASSOCIATION|06CFL001389|10CFL004566|05CAC00722|S|A|09/05/2006||100000|100000||1026201009355016675|GOVERNOR HEINEMAN COMMITTEE
REPUBLICAN STATE LEADERSHIP COMMITTEE|09CFL003450|09CFL003903|99CAC00562|S|A|04/08/2009||100000|100000||071620091213187268|BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)
REPUBLICAN STATE LEADERSHIP COMMITTEE|09CFL003450|09CFL003905|08CAC01163|S|A|04/12/2009||100000|100000||0716200912161725384|AARON A. CLARK FOR SCHOOL BOARD (DISSOLVED)
REPUBLICAN STATE LEADERSHIP COMMITTEE|09CFL003687|09CFL003906|99CAC00562|S|A|06/17/2009|100000|150000|250000||0716200916115315807|BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)
REPUBLICAN STATE LEADERSHIP COMMITTEE|12CFL004862|12CFL004863|11CAC01585|S|A|10/04/2012|10000|10000|20000||1121201210355622540|TURCO FOR LEGISLATURE
REPUBLICAN STATE LEADERSHIP COMMITTEE|12CFL004864|12CFL004865|99CAC00562|S|A|12/20/2004|10000|25000|35000||1121201210431115174|BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)
REPUBLICAN STATE LEADERSHIP COMMITTEE|12CFL004866|12CFL004867|99CAC00562|S|A|06/03/2005||75000|75000||1121201210520316121|BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)
REPUBLICAN STATE LEADERSHIP COMMITTEE|13CFL004933|13CFL004934|99CAC00562|S|A|08/29/2013|100000||100000||091120131310477444|BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)
REPUBLICAN STATE LEADERSHIP COMMITTEE|14CFL005175|14CFL005306|99CAC00562|S|A|12/03/2013|100000|150000|250000||0110201416044320086|BRUNING FOR ATTORNEY GENERAL (NOW GOVERNOR)
REPUBLICAN STATE LEADERSHIP COMMITTEE|14CFL005440|14CFL005706|13CAC01827|S|A|10/14/0204||5000|5000|NOT LISTED|1117201415304220356|EBKE FOR LEGISLATURE
REPUBLICAN STATE LEADERSHIP COMMITTEE|14CFL005440|14CFL005707|14CAC01865|S|A|10/14/2014||3000|3000|NOT LISTED|1117201415321132647|COMMITTEE TO ELECT TOMMY GARRETT
