Committee Name|Committee ID|Date Received|Transaction Date|Amount|Type of Transaction|Description
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/18/2007|12/31/2006|105.37|O|INTEREST INCOME, REDUCE CASH ON HAND, IN
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/24/2006|12/31/2005|69.62|O|2005 INTEREST INCOME, REDUCE CASH ON HAN
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/27/2009|12/31/2008|115.38|O|Interest income
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/27/2010|12/07/2009|3784.08|O|interest and CD transferred back to ch a
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|02/02/2005|12/31/2004|36.52|O|2004 INTEREST INCOME                    
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|02/02/2005|12/31/2004|33.75|O|INTEREST INCOME FROM PREVIOUS YEAR      
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|02/04/2002|12/31/2001|235.95|C|INTEREST                                
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|02/04/2002|10/03/2001|1000|C|CD MATURED - TRANSFER TO CHECKING       
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/29/2001|12/31/2000|242.97|C|INT INCOME RPTD FROM CD CD ROLLED OVER  
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/28/2000|12/31/1999|131.46|C|INTEREST INCOME REPORTED FROM 13 MO. CD 
RICH JAMES FOR SARPY COUNTY TREASURER|99CAC00204|01/28/2000|01/26/1999|3500|C|TRANSFERRED DOLLARS FROM CHECKING       
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|03/15/2005|-799.99|O|IN KIND TO NE REP/ LAPTOP COMPUTER 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|02/28/2005|-1450.29|O|IN KIND TO NE REP/OFFICE FURNITURE 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|02/25/2005|-2032|O|IN KIND TO NE REP/COPIER PRINTER 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|01/13/2005|320.18|A|POSTMASTER ACCOUNT REFUND
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|04/14/2005|55.52|A|PETTY CASH BALANCE DEPOSITED INTO CHECKI
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|04/14/2005|614|A|AMERICAN FAMILY INSURANCE CANCEL WRK COM
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|03/28/2005|302.7|A|POSTMASTER CLOSING BULK ACCOUNT REFUND 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|03/28/2005|61.63|A|ALLTEL CLOSING PHONE ACCOUNT REFUND
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|03/28/2005|51.59|A|CONNIE WALT PURCHASE OFFICE FURNITURE  
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|03/28/2005|129.85|A|VICKI POWELL - PURCHASE OFFICE FURNITURE
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|02/24/2005|157.79|A|N STREET DRIVE CHECK NEVER CASHED 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|02/24/2005|500|A|ENRON NATURAL GAS CHECK NEVER CASHED 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/24/2005|01/13/2005|2309.68|A|UNIVERSAL INFORMATION SERVICES 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|07/01/1999|200|C|SOLD COMPUTER                           
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|06/10/1999|160|C|REFUND INSURANCE                        
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|02/08/1999|89.2|C|REFUND INSURANCE                        
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|02/05/1999|57.89|C|CREDIT FOR 3149                         
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|02/05/1999|57.89|C|REPLACE CK 3149                         
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|01/21/1999|11841.5|C|REPAY SALARIES                          
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|01/21/1999|702|C|RADIO REFUND                            
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|01/21/1999|85.01|C|REFUND SNITILY CARR                     
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|01/11/1999|77|C|REFUND FAMILY INSURANCE                 
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/31/2005|08/11/2004|27.04|C|TIME WARNER CABLE DISCONNECT REFUND     
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/31/2005|08/11/2004|19|C|LIABILITY REFUND                        
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/31/2005|08/11/2004|818|C|WORK COMP REFUND                        
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/31/2005|03/31/2004|30|C|REFUND DEPOSIT OF PARKING CARDS         
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/31/2005|03/31/2004|52.26|C|REFUND OF POSTAGE                       
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|10/23/2003|294|C|AMERICAN FAMILY INSURANCE-REFUND FOR WOR
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|08/10/2003|185|C|AMERICAN FAMILY INSURANCE-REFUND FOR WOR
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|07/09/2003|242.43|C|POSTMASTER-REFUND BALANCE IN POSTAGE DUE
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|04/11/2003|10|C|JOAN SUTHER-REFUND RESERVED PARKING CARD
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|04/11/2003|1029.8|C|STATE OF NEBRASKA-UNCLAIMED REFUND      
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|02/10/2003|60|C|TIER ONE CENTER FMA-REFUND RESERVED PARK
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/30/2004|01/29/2003|1000|C|GOVERNOR'S INAUGURAL BALL COMM.-REIMBURS
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/14/2003|12/30/2002|747.43|O|REFUND FROM QWEST COMMUNICATIONS        
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/14/2003|12/30/2002|369.4|O|REFUND FROM TRIAD BROADCASTING          
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/14/2003|12/19/2002|155.51|O|REIMBURSEMENT FROM HOLLEY HATT/PHONE    
MIKE JOHANNS FOR GOVERNOR|99CAC00207|10/07/2002|07/19/2002|67.6|C|BALANCE GOVERNOR'S COUNCIL              
MIKE JOHANNS FOR GOVERNOR|99CAC00207|06/24/2002|06/09/2002|20|C|RETURNED CONTRIBUTION FROM PREV. STMT   
MIKE JOHANNS FOR GOVERNOR|99CAC00207|06/24/2002|05/31/2002|.37|C|CHECK CASHING DIFFERENCE                
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/06/2002|04/29/2002|12.92|C|MIKE JOHANNS, POSTAGE REIMBURSEMENTS    
MIKE JOHANNS FOR GOVERNOR|99CAC00207|05/06/2002|04/18/2002|15.98|C|MIKE JOHANNS POSTAGE REIMBURSEMENTS     
MIKE JOHANNS FOR GOVERNOR|99CAC00207|04/15/2002|01/25/2002|500|C|RETURN ENRON CONTRIUBITON TO GREATER HOU
MIKE JOHANNS FOR GOVERNOR|99CAC00207|04/15/2002|01/24/2002|2750|C|RETURN CONTRIBUTION - DAVID HUNTER ESTAT
MIKE JOHANNS FOR GOVERNOR|99CAC00207|04/15/2002|01/24/2002|1100|C|RETURN CONTRIBUTION - STATE TITLE SVCS  
MIKE JOHANNS FOR GOVERNOR|99CAC00207|04/15/2002|01/24/2002|2050|C|RETURN CONTRIBUTION- LINDA HUNTER       
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/29/2002|12/18/2001|500|C|REFUND ENRON CONTRIBUTION               
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/29/2002|10/09/2001|500|C|ENRON CONTRIBUTION                      
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/29/2002|03/13/2001|19.77|C|REFUND DEPOSIT/DRESNER, WICKERS & ASSOCA
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/29/2001|10/18/2000|367.5|C|NE GOP NAT'L CONV. PIN PURCHASE         
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/29/2001|04/13/2000|64.02|C|NE GOP REIMBURSE FOR POSTAGE            
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/29/2001|02/08/2000|70|C|BIG RED SUB-XMAS CARD PURCHASE          
MIKE JOHANNS FOR GOVERNOR|99CAC00207|01/28/1999|12/28/1999|206.08|C|REFLECT CASH ON HAND                    
KEEFE FOR PUBLIC DEFENDER|99CAC00211|01/31/2008|10/01/2007|52.6|A|cancelled check prior expenditure
PAT KNAPP FOR ATTORNEY GENERAL (DISSOLVED)|99CAC00221|01/31/2000|12/31/1999|80|C|FIRST FEDERAL BANK ACCOUNT CHARGES      
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|12/31/2002|1717.7|C|DONATION TO TAX-EXEMPT CHARITABLE INSTIT
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|12/30/2002|250|C|EXPENDITURE                             
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|12/17/2002|617.42|C|EXPENDITURE                             
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|12/01/2002|19.72|C|EXPENDITURE                             
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|11/07/2002|37|C|EXPENDITURE                             
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|10/16/2002|2662.4|C|CD CASH IN                              
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2003|10/16/2002|28.84|C|EXPENDITURE                             
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2002|12/31/2001|117.87|O|INTEREST ADDED TO CD                    
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/09/2002|09/28/2001|30.09|C|EXPENDITURE                             
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|01/11/2001|12/31/2000|192.91|O|INTEREST ADDED TO $2300 C.D.            
KREMER FOR LEGISLATURE|99CAC00226|06/24/2002|06/05/2002|266.47|O|NE PRESS AD SVC REFUND OF OVERPAYMENT   
KREMER FOR LEGISLATURE|99CAC00226|01/21/2000|01/05/1999|200|O|GIFT OF MEMBERSHIP TO NE CLUB           
KREMER FOR LEGISLATURE|99CAC00226|01/21/2000|01/10/1999|0|O|PASSES TO DOUGLAS THEATRE CO            
ALEX MORENO FOR SHERIFF (DISSOLVED)|99CAC00238|02/02/2005|12/31/2004|28.94|C|SERVICE CHARGE                          
ALEX MORENO FOR SHERIFF (DISSOLVED)|99CAC00238|01/28/2004|12/31/2003|76|C|SERVICE CHARGE FROM ALEX MORENO FOR SHER
ALEX MORENO FOR SHERIFF (DISSOLVED)|99CAC00238|12/30/1999|01/01/1900|0|O|TO ADJUST AMOUNT 7.44 IS INCLUDED       
ALEX MORENO FOR SHERIFF (DISSOLVED)|99CAC00238|12/30/1999|01/01/1900|0|C|-.52.  ACCOUNT HAS BALANCE OF 6.92 IN OR
ALEX MORENO FOR SHERIFF (DISSOLVED)|99CAC00238|12/30/1999|12/30/1999|7.44|C|LINE 27 FINANCIAL STATEMENT SHOWS AMOUNT
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|07/17/1998|3032.5|C|US WEST REFUND                          
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|07/09/1998|32.92|C|NEWSPAPER SUBSCRIPTION REFUNDS          
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|12/31/1998|20.99|O|ALIANT CHECK NOT CASHED                 
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|12/31/1998|310.87|O|SPRINT CHECK NOT CASHED                 
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|12/31/1998|60|O|HALL COUNTY CHECK NOT CASHED            
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|02/16/1999|1327.35|C|SANDLER & INNOCENZI MEDIA REFUND        
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|10/12/1998|.18|C|SPRINT CELL PHONE REFUND                
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|10/09/1998|227.73|C|OFFICE DEPOT REFUND                     
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|09/23/1998|14.33|C|SPRINT CELL PHONE REFUND                
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|09/23/1998|99.72|C|ALIANT PHONE SVC REFUND                 
BRESLOW COMMITTEE, THE|99CAC00240|01/27/2000|08/07/1998|113|C|WORKERS COMP. PREMIUM REFUND            
FRIENDS TO ELECT CRAIG CHRISTIANSEN|99CAC00246|01/30/2001|12/31/2000|21|O|BANK FEES CKING ACCT WELLS FARGO BANK   
JONATHAN COOK FOR COUNCIL (AT LARGE)(DISSOLVED)|99CAC00248|02/01/2000|06/14/1999|1530|O|SALE OF YARD SIGNS TO "SOUTHWEST VOTERS 
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/04/2003|07/31/2002|377.56|C|VOID STALE DATED CHECKS                 
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/04/2002|12/31/2001|939.5|C|VOID STALE DATED CHECKS                 
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/04/2002|07/24/2001|376.52|C|REFUND POSTAL ACCOUNT                   
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/04/2002|07/02/2001|586.14|C|OPPD REFUND                             
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/04/2002|07/02/2001|787.77|C|QWEST REFUND                            
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|06/26/2001|06/18/2001|542.02|C|REFUND FROM ALL MAKES OFFICE EQUIP. CO. 
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|06/26/2001|05/04/2001|31836.39|C|CERTIFICATE OF DEPOSIT REDEEMED         
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|06/26/2001|05/04/2001|42805.28|C|CERTIFICATE OF DEPOSIT REDEEMED         
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|06/26/2001|05/04/2001|31321.95|C|CERTIFICATE OF DEPOSIT REDEEMED         
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/02/2000|09/14/1999|313|O|REIM. DAUB PRIOR YEAR EXPENSE           
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/02/2000|08/27/1999|263|O|REIM. DAUB PRIOR YEAR EXPENSE           
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|02/02/2000|09/14/1999|90986.18|O|BUY CERTIFICATE OF DEPOSITS             
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/27/2005|12/31/2004|59.46|C|MONTHLY CHECKING ACCOUNT FEES           
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|02/04/2003|12/31/2002|68.71|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/29/2002|12/31/2001|120|C|CHECKING ACCT MAINTENANCE FEE (MONTHLY) 
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|12/31/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|11/30/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|10/31/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|09/30/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|08/31/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|07/31/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|06/30/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|05/31/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|04/30/2000|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|01/04/2001|03/31/2000|10.2|C|CHECKING ACCOUNT MAINTENANCE FEE        
DUDA FOR COUNTY BOARD|99CAC00255|05/05/2004|04/07/2004|11601|C|TRANSFER COD ACCOUNT TO CHECKING        
COMMITTEE TO ELECT LEO PAT ENGEL|99CAC00258|01/07/2005|12/21/2004|113.46|O|REFUND FROM NE PRESS ADV. OVERPAYMENT   
COMMITTEE TO ELECT LEO PAT ENGEL|99CAC00258|10/22/2004|10/09/2004|60.86|O|REFUND OF OVER PAYMENT , SILK SOREEN INC
COMMITTEE TO ELECT LEO PAT ENGEL|99CAC00258|01/07/2004|06/30/2003|20|C|VOID OLD CHECK #1385 PAYABLE ST MICHAELS
COMMITTEE TO ELECT LEO PAT ENGEL|99CAC00258|06/19/2000|05/30/1999|22.94|C|CHECK TO ALIANT CELLULAR DATED 1/7/99   
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|02/01/2005|12/31/2004|43.95|C|INTEREST FOR 12 MONTHS                  
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|02/02/2004|12/31/2003|47.3|C|INTEREST                                
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|01/29/2003|12/31/2002|62.63|C|INTEREST FOR 12 MONTH PERIOD            
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|02/04/2002|12/31/2001|60.8|C|INTEREST                                
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|02/01/2001|12/31/2000|81.69|C|INT FOR 12 MONTH PERIOD 1-1-00-12-31-00 
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|02/01/2000|12/31/1999|88.35|C|INTEREST FOR 12 MONTH PERIOD            
JEFF FORTENBERRY FOR CITY COUNCIL|99CAC00261|02/01/2001|03/12/2000|80|O|ANN MEMBERHSIP TO LINC INDEP BUS. ASSOCI
JEFF FORTENBERRY FOR CITY COUNCIL|99CAC00261|02/01/2001|01/29/2000|70|O|TICKETS TO MILLENIUM PARTY FOR SEN. CROS
FREEMAN FOR LEGISLATURE|99CAC00262|08/21/2000|06/30/2000|0|O|FUNDS TO OMAHA CHAPTER FRDM FOUND       
GARVER FOR SCHOOL BOARD|99CAC00263|01/30/2004|12/31/2003|50.61|C|BANK SERVICE FEES                       
HALL FOR OPPD BOARD (DISSOLVED)|99CAC00269|02/04/2004|12/31/2003|75|C|NEBRASKA ACCOUNTABILITY AND DISCLOSURE  
HALL FOR OPPD BOARD (DISSOLVED)|99CAC00269|01/17/2003|11/01/2002|100|C|NE ACCOUNTABILITY COMMISSION            
HALL FOR OPPD BOARD (DISSOLVED)|99CAC00269|01/17/2003|05/07/2002|50|C|NE ACCOUNTABILITY COMMISSION            
HALL FOR OPPD BOARD (DISSOLVED)|99CAC00269|11/01/2002|05/07/2002|50|C|NADC                                    
HALL FOR OPPD BOARD (DISSOLVED)|99CAC00269|10/08/2002|05/07/2002|50|C|NADC                                    
HALL FOR OPPD BOARD (DISSOLVED)|99CAC00269|06/25/2002|05/07/2002|50|C|NADC PAYMENT OF FEES                    
JONES FOR LEGISLATURE (DISSOLVED)|99CAC00273|01/03/2001|11/15/2000|296.02|O|CK FROM NE PRESS ADV-OVERPYMT MADE BY BA
KRISTENSEN FOR LEGISLATURE|99CAC00276|01/31/2002|12/28/2001|225|C|PROCEEDS OF SALE OF PRINTER             
KRISTENSEN FOR LEGISLATURE|99CAC00276|01/31/2002|09/17/2001|60.79|C|REFUND OF PHONE SVC FROM ALLTELL        
KRISTENSEN FOR LEGISLATURE|99CAC00276|10/11/2000|10/05/2000|500|O|CONTRIBUTION RETURNED                   
KRISTENSEN FOR LEGISLATURE|99CAC00276|10/11/2000|10/05/2000|500|O|CONTRIBUTION RETURNED                   
KRISTENSEN FOR LEGISLATURE|99CAC00276|01/31/2000|01/07/1999|250|C|PHILIP MORRIS STOP PAYMENT ON A CONTRIBU
KRISTENSEN FOR LEGISLATURE|99CAC00276|01/31/2000|12/30/1999|350|O|PROCEEDS FROM SALE OF OLD COMPUTER      
KRISTENSEN FOR LEGISLATURE|99CAC00276|02/02/1998|12/31/1997|650|O|COMPUTER SOLD TO LIESKE & KRISTENSEN    
LANDIS FOR PSC|99CAC00277|11/07/2018|10/29/2018|500|A|Unclaimed property AT&T contribution
LANDIS FOR PSC|99CAC00277|01/30/2017|06/10/2016|1346.85|A|transfer from savings acct
LANDIS FOR PSC|99CAC00277|01/30/2018|03/07/2017|100|A|Void Check #1135
LANDIS FOR PSC|99CAC00277|01/28/2008|09/06/2007|1000|A|Transfer from Savings to Checking
LANDIS FOR PSC|99CAC00277|01/27/2011|07/07/2010|54.86|A|Redeposit lost check issued to Verizon
LANDIS FOR PSC|99CAC00277|01/27/2011|06/04/2010|1000|A|Transfer from saving acct to checking
LANDIS FOR PSC|99CAC00277|01/27/2011|03/01/2010|1000|A|Transfer from savings acct. to checking
LANDIS FOR PSC|99CAC00277|01/27/2011|03/03/2010|-.03|A|Checking acct error
LANDIS FOR PSC|99CAC00277|01/29/2010|11/16/2009|1000|A|Transfor-savings to checking acct.
LANDIS FOR PSC|99CAC00277|01/29/2010|10/13/2009|1000|A|Transfor-savings to checking acct.
LANDIS FOR PSC|99CAC00277|01/29/2010|08/19/2009|1000|A|Transfor-savings to checking acct.
LANDIS FOR PSC|99CAC00277|01/28/2009|12/02/2008|1000|A|Transfer frm Savings Acct. to Checking A
LANDIS FOR PSC|99CAC00277|01/28/2009|09/17/2008|1000|A|Transfer frm Savings Acct. to Checking A
LANDIS FOR PSC|99CAC00277|01/29/2010|05/05/2009|1000|A|Transfor-savings to checking acct.
LANDIS FOR PSC|99CAC00277|01/16/2007|12/30/2006|-88.5|A|Transfer out to Savings
LANDIS FOR PSC|99CAC00277|01/16/2007|12/31/2006||A|
LANDIS FOR PSC|99CAC00277|01/16/2007|12/12/2006|6.8|A|Refund from NE Press Association
LANDIS FOR PSC|99CAC00277|04/07/2006|02/13/2006|10000|A|TRANSFER TO SAVINGS ACCOUNT
LANDIS FOR PSC|99CAC00277|01/30/2004|05/06/2003|30|C|VOIDED CHECK #557 FOR $30               
LANDIS FOR PSC|99CAC00277|01/12/2001|11/14/2000|5|C|LAST STMT CASH EXP $65.00 CK WAS ACTUALL
LANDIS FOR PSC|99CAC00277|01/27/1999|01/01/1998|100|C|RETURN OF CHECK #204 DATED 11/08/1995   
LANDIS FOR PSC|99CAC00277|01/27/1999|01/01/1998|45|C|RETURN OF CHECK #155 DATED 10/04/1994   
DAN LYNCH FOR LEGISLATURE|99CAC00279|02/04/1998|12/31/1997|80|C|REIMBURSEMENT OF OVERPAYMENT            
