Committee ID Number|Committee Name|Committee Address|Committee City|Committee State|Committee Zip|Committee Type|Date Received|Postmark Date|Nature Of Filing|Ballot Question|Oppose Ballot Question|Ballot Type|Date over Theshold|Acronym|Separate Seg Political Fund ID|Separate Segregated Political Fund Name|SSPF Address|SSPF City|SSPF State|SSPF Zip|SSPF Type|Date Dissolved|Date of Next Election|Election Type|Won General|Won Primary
13CAC01760|ALLEN HAGER FOR LEARNING COMMUNITY -NOT REGISTERED|16408 RIGGS STREET|OMAHA|NE|68135|C|01/01/1900|01/01/1900|I||||01/01/1900||||||||||05/03/2013|||
99PAC00013|ALLTEL PAC|1440 M STREET, PO BOX 81309|LINCOLN|NE|68501|S|07/12/1982|07/12/1982|I||0|I|07/12/1982|       |          |||||||01/17/2000|01/01/2000|P|0|0
09CAC01333|ALPHA MARIE GOOMBI FOR LEARNING COUNCIL #1 (NR)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68512|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||12/31/9999|P||
14BQC00388|ALTERNATIVE BUILDING CONCEPTS (DISSOLVED)|2525 N ST |LINCOLN|NE|68510|B|09/15/2014|09/15/2014||Bennet- Palmyra orz schol board|1|O|09/09/2014|||||||||12/31/2014|11/04/2014|G||
08BQC00183|ALTERNATIVE BUILDING CONSTRUCTION SITE(DISSOLVED)|58831 HWY 9|PONCA|NE|68770|B|07/29/2005|07/28/2005|I|CITY OF PONCA School Bond Issue|1|O|07/15/2005|||||||||01/14/2010|02/14/2006|P||
18CAC02440|AMANDA BOGNER FOR OPPD |1521 N 143RD CIRCLE|OMAHA|NE|68154|C|05/11/2018|05/09/2018|||||05/08/2018||||||||||05/15/2018|P||
18CAC02408|AMANDA L BAUER FOR CLERK OF THE DISTRICT COURT|828 RICHMOND AVENUE|HASTINGS|NE|68901|C|04/10/2018|04/05/2018|I||||04/19/2018||||||||||05/15/2018|P||
19CAC02606|AMANDA WRIGHT FOR DOUGLAS WRIGHT CO W BD OF ED (NR|NOT REGISTERED|LINCOLN|NE|68501|C|01/01/1900||||||01/01/1900|||||||||||||
16CAC02183|AMBER PARKER MILLARD BOARD OF EDUCATION (NR)|NOT REGISTERED|ZIP NOT VALID|NE|00000|C|12/31/1999|12/31/1999|I|||O|12/31/2999|||||||||||||
18CAC02414|AMBER SCHUPPAN FOR HALL COUNTY SUPERVISOR - NR|323 E. PLUM ST|DONIPHAN|NE|68832|C|01/01/1900|01/01/1900|I||||01/01/1900||||||||||05/15/2018|||
12BQC00328|AMENDMENT 4 TO INCREASE LEGISLATIVE SALARIES (NR)|1445 K STREET|LINCOLN|NE|68509|B|12/07/2012||I||||01/01/1900||||||||||11/06/2012|G||
08BQC00205|AMERICAN CIVIL RIGHTS COALITION (NOT REGISTERED)|NOT A  REGISTERED COMMITTEE|Sacramento|CA|95816|B|01/01/1900|01/01/1900|I||||09/10/2008||||||||||11/04/2008|G||
06PAC00149|AMERICAN COUNCIL OF ENGINEERING COMP-NE PAC (ACEC)|211 N 14TH STREET|LINCOLN|NE|68508|S|09/11/2006|09/11/2006|I||||12/31/9999||||||||||11/06/2018|G||
17BQC00452|AMERICAN FAMILIES PARTY|714 W. 5TH STREET #6|HASTINGS|NE|68901|B|06/19/2017||I|Repeal City Ordiance 4473 & Non Secret ballot internet voting|0|F|01/01/1900|||||||||11/14/2017|05/15/2018|P||
14PAC00182|AMERICAN MEDICAL ASSOCIATION (PAC) NOT REGISTERED|NOT REGISTERED|CHICAGO|IL|60611|P|11/03/9999|12/31/9999|I|||O|12/31/9999||||||||||11/04/2014|G||
99PAC00119|AMERITAS LIFE INSURANCE CORP PAC (DISSOLVED)|5900 O STREET|LINCOLN|NE|68510|S|07/09/1984|07/06/1984|I||0|I|07/07/1984|||||||||09/10/2014|11/05/2012|G||
06BQC00120|AMES ECONOMIC DEVELOPMENT COMMISSION (NR)|N/A|ZIP NOT VALID|NE|68000|B|02/01/2006|01/30/2006|I||||01/01/1978|||||||||||||
09CAC01331|AMY BRACHT FOR LEARNING COUNCIL #1 (NR)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68506|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||12/31/9999|P||
12CAC01741|AMY FRIEDMAN FOR LEARNING COUNCIL (NOT REGISTERED)|UNKNOWN|OMAHA|NE|68114|C|01/01/1900|01/01/1900|I||||01/01/1900||||||||||11/06/2012|||
06CAC00893|AMY LINDSAY FOR MUD BOARD (DISSOLVED)|1002 NORTH 63RD STREET|OMAHA|NE|68132|C|05/03/2006|05/01/2006|I||||04/28/2006|||||||||12/08/2014|11/04/2008|P||
19CAC02600|AMY PARKS FOR ELKHORN BOARD OF EDUCATION (NOT REG|NOT REGISTERED|LINCOLN|NE|68501|C|01/01/1900||||||01/01/1900|||||||||||||
16CAC02161|AMY SPELLMAN FOR MALCOM SCHOOL BOARD - NR|NOT REGISTERED|LINCOLN|NE|68509|C|01/01/1900|01/01/1900|I||||01/01/1900||||||||||05/10/2016|P||
18CAC02429|ANAYELI MARTINEZ REAL FOR LEARNING COMMUNITY - NR|NOT REGISTERED|NICKERSON|NE|68044|C|01/01/1900|01/01/1900|I||||01/01/1900||||||||||05/15/2018|||
12CAC01743|ANDREAS ALLEN OPS (NOT REGISTERED)|UNKNOWN|OMAHA|NE|68114|C|01/01/1900|01/01/1900|I||||01/01/1900||||||||||11/06/2012|||
18CAC02557|ANDREW COCKERILL FOR WAVERLY CITY COUNCIL (NOT REG|NOT REGISTERED|WAVERLY|NE|68462|C|01/01/1900||||||01/01/1900|||||||||||||
07CAC01015|ANDREW HOVEY FOR COUNTY COMMISSIONER (NR)|NOT A REGISTERED COMMITTEE|SOUTH SIOUX CITY|NE|68776-0323|C|12/31/9999||||||12/31/9999|||||||||||||
09CAC01350|ANDREW NORTHWALL FOR RALSTON BOARD OF ED #54 (NR)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68528|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||12/31/9999|P||
18CAC02383|ANDREW STOCK FOR COUNTY TREASURER|3629 S. 19TH STREET|LINCOLN|NE|68502|C|03/05/2018|03/05/2018|I||||01/01/1900|||||||||08/15/2018|05/15/2018|P||
08CAC01298|ANDREW THILL FOR MILLARD SCHOOL BOARD (NR)|NOT A REGISTERED COMMITTEE|MILLARD|NE|68425|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||01/01/2008|P||
12CAC01731|ANDY ALLEN FOR OPS #8 (NOT REGISTERED)|1902 S. 29TH CIRCLE|OMAHA|NE|68105|C|01/01/1900|01/01/1900|I||||01/01/1900||||||||||11/06/2012|||
06CAC01000|ANDY MAHONEY FOR BELLEVUE CITY COUNCIL (NR)||ZIP NOT VALID|NE|00000|C|01/01/1900|01/01/1900|||||01/01/1900||||||||||11/07/2006|G||
09CAC01390|ANDY STEBBING FOR COUNTY TREASURER|6211 A STREET|LINCOLN|NE|68510|C|11/16/2009|11/16/2009|I||||11/07/2009|||||||||03/04/2019|05/11/2010|P||
14CAC02032|ANDY STEBBING FOR MAYOR|6211 A STREET|LINCOLN|NE|68510|C|12/04/2014|12/04/2014|I||||01/01/1900|||||||||01/24/2017|05/02/2015|P||1
11CAC01576|ANGELA HOGAN BOARD OF EDUCATION (NR)|NOT A REGISTERED COMMITTEE|COLUMBUS|NE|68601|C|03/29/2011||||||12/31/9999|||||||||||||
99CAC00471|ANGELIKA T.L. BYORTH FOR STATE SENATOR (DISSOLVED)|3027 PLYMOUTH AVE|LINCOLN|NE|68502|C|04/24/2000|04/24/2000|I||0|I|04/21/2000|||||||||11/17/2005|11/02/2004|G||1
19CAC02632|ANGIE FOR GRETNA |21700 WEST ANGUS ROAD|GRETNA|NE|68028|C|08/29/2019|08/27/2019|||||08/27/2019||||||||||11/03/2020|G||
18CAC02449|ANGIE MORONES-HARRIS|10904 S 110 AVENUE|PAPILLION|NE|68046|C|05/02/2018|04/30/2018|I||||04/27/2018|||||||||03/19/2019|05/15/2018|P||
06CAC00777|ANGUS GAREY FOR LEGISLATION (DISSOLVED)|PO BOX 605|MCCOOK|NE|69001|C|01/13/2006|01/11/2006|I||||01/06/2006|||||||||06/19/2006|05/09/2006|P||
12CAC01714|ANN BLEED FOR NRD (DISSOLVED)|1315 N 37 STREET|LINCOLN|NE|68503|C|10/10/2012||I||||10/09/2012|||||||||12/10/2012|11/06/2012|G||
12CAC01615|ANN FERLIC ASHFORD FOR REGENT (DISSOLVED)|7926 SHIRLEY CIRCLE|OMAHA|NE|68124|C|01/27/2012|01/27/2012|I||||01/20/2012|||||||||01/31/2014|05/15/2012|P||
99CAC00477|ANN MACTIER CAMPAIGN (DISSOLVED)|3811 NORTH POST ROAD|OMAHA|NE|68112|C|04/26/2000|04/25/2000|I||0|I|04/27/1900|||||||||02/26/2008|11/02/2004|G|1|1
18CAC02473|ANN SACKETT WRIGHT 4 GRETNA BOARD OF EDU-37 (NR)|NOT A REGISTERED COMMITTEE|SOMEWHERE|NE|00000-0000|C|06/26/1999|12/31/1999||||O|12/31/1999|||||||||||||
18CAC02465|ANN SACKETT WRIGHT FOR GRETNA BD OF ED - NR|NOT REGISTERED|GRETNA|NE|68028|C|01/01/1900|01/01/1900|I||||01/01/1900||||||||||05/15/2018|P||
14CAC01864|ANNA WISHART FOR AIRPORT AUTHORITY (DISSOLVED)|4030 S. 20TH STREET|LINCOLN|NE|68502|C|04/05/2011|04/05/2011|I||||04/01/2011|||||||||01/31/2014|05/04/2011|||
15CAC02071|ANNA WISHART FOR LEGISLATURE |911 E STREET|LINCOLN|NE|68508|C|03/13/2015|03/13/2015|I||||03/04/2015||||||||||11/04/2016|G|1|1
99CAC00691|ANNE BOYLE FOR CITY COUNCIL (DISSOLVED)|500 SOUTH 37TH ST. #506|OMAHA|NE|68105|C|06/04/2004|06/03/2004|I||0|I|05/25/2004|||||||||01/03/2006|05/10/2005|G||
99CAC00149|ANNE BOYLE FOR PUBLIC SERVICE COMMISSION (DISSOLVE|500 SOUTH 37TH ST, STE 506|OMAHA|NE|68105|C|04/16/1996|04/16/1996|I||0|I|04/16/1996|||||||||01/03/2014|11/05/2002|G|1|1
99CAC00620|ANNE MCGUIRE FOR OPPD|200 SOUTH 31ST AVE #4600|OMAHA|NE|68131|C|09/17/2002|09/16/2002|I||0|I|09/16/2002||||||||||11/04/2008|G|1|
99CAC00385|ANNETTE MCROY FOR CITY COUNCIL (DISSOLVED)|1142 NEW HAMPSHIRE|LINCOLN|NE|68508|C|03/15/1999|03/15/1999|I||0|I|03/15/1999|||||||||08/13/2010|05/04/1999|P||
15CAC02077|ANNIE FOR EDUCATION|3350 M STREET|LINCOLN|NE|68510|C|03/31/2015|03/31/2015|I||||03/18/2015||||||||||04/07/2015|P||
99PPC00004|ANTELOPE COUNTY REPUBLICAN COMMITTEE (DISSOLVED)|P.O. BOX 29,|BRUNSWICK|NE|68720|T|05/31/1978|05/31/1978|I||0|I|05/31/1978|       |          |||||||10/26/1999|03/11/1999|P|0|0
08CAC01287|ANTHONY GOWAN FOR LAVISTA CITY COUNCIL (NR)|NOT A REGISTERED COMMITTEE |GRETNA|NE|68018|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||01/01/2008|P||
18CAC02501|ANTHONY SCHUTZ FOR NRD - NOT REGISTERED|6811 NW 8TH STREET|LINCOLN|NE|68521|C|01/01/1900|01/01/1900|I||||01/01/1900||||||||||11/06/2018|||
99PAC00112|APPLESEED PAC|123 ANYWHERE|WASHINGTON|DC|20036|S|01/01/1900|01/01/1900|I||0|I|01/01/1900||99IRC00053||||||R|01/20/1999|05/04/1998|P|0|0
06BQC00137|APS FOR KIDS (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|ARLINGTON|NE|68002|B|06/19/2006||||0||12/31/9999|||||||||||||
99BQC00085|AQUATIC PARK|152 E 6 ST|FREMONT|NE|68025|B|05/30/2003|05/29/2003|I|5.2 MILLION BOND ISSUE FOR AQUATIC PARK           |0|I|05/29/2003|||||||||01/04/2005|11/02/2004|G|1|1
99PAC00078|AQUILA, INC EMPLOYEE STATE PAC|1600 WINDHOEK DRIVE|LINCOLN|NE|68512|S|06/13/1988|06/13/1988|I||0|I|06/13/1988|||||||||11/30/2005|05/04/2002|P||
99PAC00078|AQUILA, INC EMPLOYEE STATE PAC|1600 WINDHOEK DRIVE|LINCOLN|NE|68512|S|02/10/2000|02/10/2000|A||0|I|06/13/1988|||||||||11/30/2005|11/05/2004|G||
08PAC00153|AQUILIA INC. EMPLOYEE FEDERAL PAC (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|KANSAS CITY|MO|64105|P|01/01/1900|01/01/1900|I||||01/20/2008||||||||||05/13/2008|P||
99CAC00654|ARGANBRIGHT FOR LEGISLATURE (DISSOLVED)|BOX 67 - DESIRAE DRIVE|VALENTINE|NE|69201|C|01/28/2004|01/27/2004|I||0|I|01/28/2004|||||||||01/10/2006|05/11/2004|P||
99CAC00619|ARNOLD STUTHMAN CAMPAIGN FUND (DISSOLVED)|24160 310TH ST|PLATTE CENTER|NE|68653|C|09/12/2002|09/12/2002|I||0|I|09/04/2002|||||||||01/26/2011|05/09/2010|P||
99CAC00463|ART KNOX|123 ANYWHERE|LINCOLN|NE|68502|C|01/01/1978|01/01/1978|I||0|I|01/01/1978||99IRC00107||||||R|01/01/1978|01/01/1978|P|0|0
05CAC00755|ASHFORD FOR LEGISLATURE(DISSOVED)|7926 SHIRLEY ST|OMAHA|NE|68124|C|11/22/2005|11/21/2005|I||||11/16/2005|||||||||05/23/2012|11/02/2010|G||1
12CAC01688|ASHFORD FOR OMAHA (DISSOVED)|7926 SHIRLEY ST|OMAHA|NE|68124|C|06/04/2012||I||||05/23/2012|||||||||09/10/2015|04/03/2013|P||
16CAC02243|ASHLEY CHRISTENSEN LOUISVILLE BOARD OF ED (NR)|NOT REGISTERED|ZIP NOT VALID|NE|00000|C|10/11/1999|10/11/1999|I|||O|12/31/2999||||||||||11/08/2999|||
99PAC00042|ASSOCIATED BEVERAGE DISTRIBUTORS OF NE (PAC)|301 S. 13TH STREET, SUITE 400|LINCOLN|NE|68508|S|03/29/1988|03/29/1988|I||0|I|03/29/1988||||||||||11/08/2012|G||
99PAC00011|ASSOCIATED BUILDERS & CONTRACTORS (ABC PAC)|830 WEST GATE BLVD|LINCOLN|NE|68528|S|07/29/1990|07/29/1980|I||0|I|07/29/1990||||||||||11/08/2012|P||
99PAC00014|AT & T PAC|635 S. 14TH STREET, SUITE 300,|LINCOLN|NE|68508|S|09/12/1984|09/12/1984|I||0|I|09/12/1984|       |          |||||||10/17/2000|05/04/2000|P|0|0
99PAC00120|AT&T PAC - NORTHWEST STATES|1875 LAWRENCE STREET, 15TH FLOOR|DENVER|CO|80202|S|01/27/2000|01/27/2000|I||0|I|01/27/2000||99IRC00124||||||R|01/27/2000|01/01/1999|P|0|0
17CAC02355|ATKEISON FOR PSC|2601 N 44TH STREET|LINCOLN|NE|68504|C|11/21/2017|11/21/2017|I||||01/01/1900||||||||||05/15/2018|P||
19CAC02622|AURANG ZEB FOR AIRPORT AUTHORITY ( NOT REGISTERED)|NOT REGISTERED|LINCOLN|NE|68501|C|01/01/1900||||||01/01/1900|||||||||||||
18CAC02495|AUTUMN SKY BURNS FOR 2018 PAPILLION MAYOR (NOT REG|NOT REGISTED|PAPILLION|NE|68046|C|10/04/2018||||||01/01/1900|||||||||||||
05CAC00726|AVERY FOR LEGISLATURE (DISSOLVED)|1925 E STREET |LINCOLN|NE|68510|C|05/17/2005|05/17/2005|I||||06/11/2005|||||||||04/08/2015|11/02/2010|G|1|1
99CAC00142|BAACK FOR GOOD GOVERNMENT (DISSOLVED)|1712 DEVOE DRIVE|LINCOLN|NE|68506|C|04/13/1984|04/13/1984|I||0|I|04/13/1984|       |          |||||||12/11/2000|05/04/1998|P|0|0
99PAC00110|BACK PAC|7602 PACIFIC STREET|OMAHA|NE|68114|S|01/01/1900|01/01/1900|I||0|I|01/01/1900||99IRC00051||||||R|01/01/1999|05/04/1998|P|0|0
16CAC02221|BAIRD FOR CITY COUNCIL (NOT REGISTERED)|PO BOX 23165|LINCOLN|NE|68502|C|10/11/1999|10/11/1999|I|||O|12/31/1999||||||||||11/08/2016|||
99CAC00025|BAKER FOR LEGISLATURE (DISSOLVED)|36031 ROAD 719|TRENTON|NE|69044|C|11/20/1997|11/20/1997|I||0|I|11/20/1997|||||||||03/26/2015|11/02/2010|G||1
99CAC00378|BALDWIN FOR MAYOR COMMITTEE (DISSOLVED)|101 WEST MISSION AVE|BELLEVUE|NE|68005|C|11/10/1998|11/09/1998|I||0| |11/10/1998|       |          |||||||01/05/1999|11/04/1998|G|0|0
16CAC02126|BALLARD FOR COMMISSIONER|1503 W. RAYMOND RD|RAYMOND|NE|68428|C|02/01/2016|01/29/2016|I||||01/28/2016|||||||||03/07/2018|05/10/2016|P||
99CAC00168|BARB NICHOLS FOR LEGISLATURE|2444 SOUTH CANTERBURY LANE|LINCOLN|NE|68512|C|01/25/1996|01/25/1996|I||0| |01/25/1996|       |          |||||||09/17/1998|11/04/1996|G|0|0
06CAC00970|BARB NICHOLS FOR NRD (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|OMAHA|NE|68130|C|01/01/1900||||||01/01/1900||||||||||11/07/2006|G||
08CAC01090|BARBARA BAIER FOR COMMISSIONER (DISSOLVED)|PO BOX 81485|LINCOLN|NE|68501|C|02/20/2008|02/19/2008|I||||04/03/2008|||||||||09/01/2010|05/13/2008|P||
99CAC00718|BARBARA BAIER FOR SCHOOL BOARD|1201 O STREET STE 301|LINCOLN|NE|68508|C|03/07/2005|03/07/2005|I||0|I|01/01/2001||||||||||04/04/2017|P||
13CAC01799|BARBARA DAUGHTEN FOR SCHOOL BOARD (NOT REGISTERED)|123 FORE|ZIP NOT VALID|NE|00001|C|01/01/1900|01/01/1900|I||||01/01/1900|||||||||||||
09CAC01348|BARBARA DUTIEL FOR OPS #6 (NR)|NOT A REGISTERED COMMITTEE|OMAHA|NE|68132|C|12/31/9999|12/31/9999|I||||12/31/9999||||||||||12/31/9999|P||
14CAC01935|BARBARA POUSSON FOR CLERK OF DISTRICT COURT(DISOL|911 W. PERRY STREET|PAPILLION|NE|68046|C|04/30/2014|04/28/2014|I||||04/28/2014|||||||||07/22/2014|05/13/2014|P||
18CAC02467|BARBARA POUSSON FOR CLERK OF THE DIST COURT 2018|911 W PERRY STREET|PAPILLION|NE|68046|C|05/17/2018|05/15/2018|||||05/15/2018|||||||||06/13/2018|05/15/2018|P||
10CAC01487|BARBARA VELAZQUEZ OPS BOARD OF EDUCATION (NR)|5620 S. 48 AVE|OMAHA|NE|68117|C|01/01/1999|01/01/1999|I||||01/01/1999||||||||||11/02/2010|G||
17CAC02322|BARBARA WEITZ FOR REGENT|110 N 92ND STREET|OMAHA|NE|68114|C|07/18/2017|07/14/2017|I||||07/01/2017||||||||||05/08/2016|P||
