Committee Name|Form ID|Committee ID|Postmark Date|Date Received|Microfilm Number|Recipient Name|Recipient Address|Recipient City|Recipient State|Recipient Zip|Recipient Phone|Expenditure Date|Amount|Candidate ID|Candidate Support/Oppose|Ballot Question ID|Ballot Support/Oppose|Date Last Revised|Last Revised By|Candidate/Ballot Name
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003186|08IRC00484|10/27/2008|10/28/2008|7830247|Mack Crounse Group - Ken Haar for Legislature|2001 N. Beauregard St. #420|Alexandria|VA|22311||10/24/2008|6065.25|08FIS11036|S |||11/04/2008|nadc01|KENNETH W HAAR
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003187|08IRC00484|10/27/2008|10/28/2008|7830248|Mack Crounse Group - Giese for Legislature|2001 N. Beauregard St. #420|Alexandria|VA|22311||10/24/2008|6062.53|07FIS10926|S |||11/04/2008|nadc01|ROBERT J GIESE
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003188|08IRC00484|10/27/2008|10/28/2008|7830249|Mack Crounse Group - Kopplin for Legislature|2001 N. Beauregard St. #420|alexandria|VA|22311||10/24/2008|6333.23|99FIS09559|S |||11/04/2008|nadc01|GAIL F KOPPLIN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003189|08IRC00484|10/27/2008|10/28/2008|7830250|Mack Crounse Group - Lorenzen2008|2001 N. Beauregard St. #420|Alexandria|VA|22311||10/24/2008|6562.25|08FIS10973|S |||11/04/2008|nadc01|CARL A LORENZEN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003190|08IRC00484|10/27/2008|10/28/2008|7840001|United Enterprise Co. - Lorenzen2008|10913 E Cir|Omaha|NE|68137||10/24/2008|1607.69|08FIS10973|S |||11/04/2008|nadc01|CARL A LORENZEN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003191|08IRC00484|10/27/2008|10/28/2008||Mack Crounse Group - Rex Moats for Legislature|2001 N. Beauregard St. #420|Alexandria|VA|22311||10/24/2008|6622.33|07FIS10930|S |||10/29/2008|nadc01|REX  J MOATS
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003192|08IRC00484|10/27/2008|10/28/2008|7840003|Mack Crounse Group - Sullivan for Legislature|2001 N. Beauregard St. #$20|Alexandria|VA|22311||10/24/2008|6612.2|07FIS10940|S |||11/04/2008|nadc01|KATHLEEN A SULLIVAN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003204|08IRC00484|10/29/2008|10/30/2008|7840004|Mack Crounse Group - Giese for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|5862.53|07FIS10926|S |||11/04/2008|nadc01|ROBERT J GIESE
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003205|08IRC00484|10/29/2008|10/30/2008|7840005|Mack Crounse Group - Giese for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|5542.53|07FIS10926|S |||11/04/2008|nadc01|ROBERT J GIESE
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003206|08IRC00484|10/29/2008|10/30/2008|7840006|Mack Crounse Group - Ken Haar for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|6065.25|08FIS11036|S |||11/04/2008|nadc01|KENNETH W HAAR
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003207|08IRC00484|10/29/2008|10/30/2008|7840007|Mack Crounse Group - Kopplin for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|5794.3|99FIS09559|S |||11/04/2008|nadc01|GAIL F KOPPLIN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003208|08IRC00484|10/29/2008|10/30/2008|7840008|Mack Crounse Group - Kopplin for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|6333.23|99FIS09559|S |||11/04/2008|nadc01|GAIL F KOPPLIN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003209|08IRC00484|10/29/2008|10/30/2008|7840009|Mack Crounse Group - Lorenzen 2008|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|6339.3|08FIS10973|S |||11/04/2008|nadc01|CARL A LORENZEN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003210|08IRC00484|10/29/2008|10/30/2008|7840010|Mack Crounse Group - Rex Moats for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|6383.63|07FIS10930|S |||11/04/2008|nadc01|REX  J MOATS
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003211|08IRC00484|10/29/2008|10/30/2008|7840011|Mack Crounse Group - Sullivan for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311|2001|10/28/2008|6412.2|07FIS10940|S |||11/04/2008|nadc01|KATHLEEN A SULLIVAN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003212|08IRC00484|10/29/2008|10/30/2008|7840012|Mack Crounse Group - Sullivan for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||10/28/2008|5915.32|07FIS10940|S |||11/04/2008|nadc01|KATHLEEN A SULLIVAN
CITIZENS FOR A BETTER LINCOLN|13CFL004882|12IRC00504|03/27/2013|03/27/2013|8870064|Lincoln Postmaster USPS|700 R Street|Lincoln|NE|68501|8002758777|03/27/2013|3941.42|99FIS08060|O |||04/03/2013|nadc06|EUGENE W CARROLL
CITIZENS FOR A BETTER LINCOLN|13CFL004886|12IRC00504|04/24/2013|04/24/2013|8890213|United States Postal Service||Lincoln|NE|||04/24/2013|3907.69|99FIS08060|O |||04/29/2013|nadc06|EUGENE W CARROLL
CITIZENS FOR A BETTER LINCOLN|13CFL004887|12IRC00504|04/24/2013|04/24/2013|8890214|Bright Strategies|1202 W Norfolk Ave|Norfolk|NE|68701||04/23/2013|3869.37|99FIS08060|O |||04/29/2013|nadc06|EUGENE W CARROLL
CITIZENS FOR A BETTER LINCOLN|13CFL004900|12IRC00504|04/30/2013|04/30/2013|8900143|Bright Strategies|1202 W Norfolk Ave|Norfolk|NE|68701|4025803380|04/30/2013|951.22|13FIS12556|S |||05/07/2013|nadc06|TRENT J FELLERS
CITIZENS FOR A BETTER LINCOLN|13CFL004901|12IRC00504|04/30/2013|04/30/2013|8900143|Bright Strategies|1202 W Norfolk Ave|Norfolk|NE|68701|4025803380|04/30/2013|951.23|99FIS03854|S |||05/07/2013|nadc06|MARK A WHITEHEAD
CITIZENS FOR A BETTER LINCOLN|13CFL004902|12IRC00504|04/30/2013|04/30/2013|8900143|Bright Strategies|1202 W Norfolk Ave|Norfolk|NE|68701|4025803380|04/30/2013|951.23|13FIS12553|S |||05/07/2013|nadc06|ROY A CHRISTENSEN
CITIZENS FOR A BETTER LINCOLN|13CFL004903|12IRC00504|05/02/2013|05/02/2013|8900144|US Postmaster||Lincoln|NE|||05/01/2013|675.07|13FIS12556|S |||05/07/2013|nadc06|TRENT J FELLERS
CITIZENS FOR A BETTER LINCOLN|13CFL004904|12IRC00504|05/02/2013|05/02/2013|8900144|US Postmaster||Lincoln|NE|||05/01/2013|675.07|99FIS03854|S |||05/07/2013|nadc06|MARK A WHITEHEAD
CITIZENS FOR A BETTER LINCOLN|13CFL004905|12IRC00504|05/02/2013|05/02/2013|8900144|US Postmaster||Lincoln|NE|||05/01/2013|675.07|13FIS12553|S |||05/07/2013|nadc06|ROY A CHRISTENSEN
CITIZENS FOR A BETTER LINCOLN|13CFL004906|12IRC00504|05/02/2013|05/02/2013|8900145|Bright Strategies|1202 W Norfolk Ave |Norfolk|NE|68701|4025803380|05/01/2013|973.92|13FIS12556|S |||05/07/2013|nadc06|TRENT J FELLERS
CITIZENS FOR A BETTER LINCOLN|13CFL004907|12IRC00504|05/02/2013|05/02/2013|8900145|Bright Strategies|1202 W Norfolk Ave|Norfolk|NE|68701|4025803380|05/01/2013|973.93|99FIS03854|S |||05/07/2013|nadc06|MARK A WHITEHEAD
CITIZENS FOR A BETTER LINCOLN|13CFL004908|12IRC00504|05/02/2013|05/02/2013|8900145|Bright Strategies|1202 W Norfolk Ave|Norfolk|NE|68701|4025803380|05/01/2013|973.93|13FIS12553|S |||05/07/2013|nadc06|ROY A CHRISTENSEN
CITIZENS FOR A BETTER LINCOLN|13CFL004909|12IRC00504|05/02/2013|05/02/2013|8900146|US Postmaster||Lincoln|NE|||05/01/2013|4104.34|99FIS08060|O |||05/07/2013|nadc06|EUGENE W CARROLL
CITIZENS FOR A BETTER LINCOLN|13CFL004914|12IRC00504|05/02/2013|05/02/2013|8900147|Nebraska Printing Center (In-kind)|2145 North Cotner Blvd|Lincoln|NE|68505||05/01/2013|2005.49|99FIS08060|O |||05/07/2013|nadc06|EUGENE W CARROLL
CITIZENS FOR A BETTER LINCOLN|15CFL005778|12IRC00504|04/27/2015|04/27/2015|9420043|CYNDI LAMM FOR CITY COUNCIL|5319 WALKER AVE|LINCOLN|NE|68504|4024329770|04/24/2015|8000|15FIS13296|S |||05/04/2015|nadc06|CYNDI R LAMM
CITIZENS FOR A BETTER LINCOLN|15CFL005786|12IRC00504|04/29/2015|04/29/2015|9420044|BROADCAST HOUSE|4343 O ST|LINCOLN|NE|68510|4024754567|04/28/2015|4275|99FIS07876|O |||05/04/2015|nadc06|PATRICIA L NEWMAN
CITIZENS FOR A BETTER LINCOLN|15CFL005794|12IRC00504|05/05/2015|05/05/2015|9420158|BRIGHT STRATEGIES|PO BOX 6272|LINCOLN|NE|68506|4025803380|05/04/2015|1309.3|99FIS07876|O |||05/11/2015|nadc06|PATRICIA L NEWMAN
CITIZENS FOR A BETTER LINCOLN|16CFL005927|12IRC00504|10/26/2016|10/26/2016|9700174|BROADCAST HOUSE||LINCOLN|NE|68509||10/25/2016|1590|15FIS13465|O |||11/01/2016|nadc06|JAMES E GORDON
CITIZENS FOR A BETTER TOMORROW|16CFL005903|16IRC00523|05/11/2016|05/13/2016||RED STATE STRATEGIES|PO BOX 540975 |OMAHA|NE|68154-975||05/09/2016|8250|11FIS12201|O |||07/14/2016|nadc06|MICHAEL T HILGERS
CITIZENS FOR A BETTER TOMORROW|16CFL005930|16IRC00523|10/27/2016|10/31/2016|9710175|NextGen Persuasion - Citizens for Schnoor|718 7th St. NW|Washington|DC|20001||10/25/2016|30000|15FIS13279|O |||11/08/2016|nadc06|DAVID A SCHNOOR
CITIZENS FOR A BETTER TOMORROW|16CFL005931|16IRC00523|10/27/2016|10/31/2016|9710176|NextGen Persuasion - Gregg Neuhaus for Legislature|718 7th St. NW|Washington|DC|20001||10/25/2016|30000|07FIS10917|O |||11/08/2016|nadc06|GREGORY M NEUHAUS
CITIZENS FOR A BETTER TOMORROW|16CFL005932|16IRC00523|10/27/2016|10/31/2016|9710177|NextGen Persuasion - Ian Swanson for Legislature|718 7th St. NW|Washington|DC|20001||10/25/2016|30000|15FIS13418|O |||11/08/2016|nadc06|IAN M SWANSON
CITIZENS FOR A BETTER TOMORROW|16CFL005933|16IRC00523|10/27/2016|10/31/2016|9710178|NextGen Persuasion - Friends for Mike Hilgers|718 7th St. NW|Washington|DC|20001||10/25/2016|30000|11FIS12201|O |||11/08/2016|nadc06|MICHAEL T HILGERS
CITIZENS FOR A BETTER TOMORROW|16CFL005934|16IRC00523|10/27/2016|10/31/2016|9710179|NextGen Persuasion - Suzanne Geist for Legislature|718 7th St. NW|Washington|DC|20001||10/25/2016|30000|15FIS13458|O |||11/08/2016|nadc06|SUZANNE C GEIST
CITIZENS FOR A BETTER TOMORROW|16CFL005936|16IRC00523|11/01/2016|11/01/2016|9710182|CLARK CREATIVE|514 S 13TH ST|OMAHA|NE|68508||10/28/2016|6248|15FIS13440|S |||11/08/2016|nadc06|LARRY J SCHERER
CITIZENS FOR A BETTER TOMORROW|16CFL005937|16IRC00523|11/01/2016|11/01/2016|9710183|CLARK CREATIVE|514 S 13TH ST|OMAHA|NE|68102||10/28/2016|4085|15FIS13443|S |||11/08/2016|nadc06|DANIEL D QUICK
CITIZENS FOR A BETTER TOMORROW|16CFL005938|16IRC00523|11/01/2016|11/01/2016|9710184|CLARK CREATIVE|514 S 13TH ST|OMAHA|NE|68102||10/28/2016|2938|15FIS13463|S |||11/08/2016|nadc06|LYNNE M WALZ
CITIZENS FOR A BETTER TOMORROW|16CFL005939|16IRC00523|11/01/2016|11/01/2016|9710181|CLARK CREATIVE|514 S 13TH ST|OMAHA|NE|68102||10/28/2016|6282|15FIS13465|S |||11/08/2016|nadc06|JAMES E GORDON
CITIZENS FOR A BETTER TOMORROW|16CFL005940|16IRC00523|11/01/2016|11/01/2016|9710180|CLARK CREATIVE|514 S 13TH ST|OMAHA |NE|68102||10/28/2016|7320|11FIS12209|S |||11/08/2016|nadc06|RICHARD L KOLOWSKI
CITIZENS FOR A BETTER TOMORROW|16CFL005952|16IRC00523|11/04/2016|11/07/2016|9720050|CLARK CREATIVE|514 S 13TH |OMAHA|NE|68102||11/02/2016|2514|15FIS13440|S |||11/15/2016|nadc06|LARRY J SCHERER
CITIZENS FOR A BETTER TOMORROW|16CFL005953|16IRC00523|11/04/2016|11/07/2016|9720051|CLARK CREATIVE|514 S 13TH ST|OMAHA|NE|68102||11/02/2016|2554.5|15FIS13443|S |||11/15/2016|nadc06|DANIEL D QUICK
CITIZENS FOR A BETTER TOMORROW|16CFL005954|16IRC00523|11/04/2016|11/07/2016|9720052|CLARK CREATIVE|514 S 13TH ST`|OMAHA|NE|68102||11/02/2016|2579|15FIS13465|S |||11/15/2016|nadc06|JAMES E GORDON
CITIZENS FOR A BETTER TOMORROW|16CFL005955|16IRC00523|11/04/2016|11/07/2016|9720053|CLARK CREATIVE|514 S 13TH |OMAHA|NE|68102||11/02/2016|2470.44|15FIS13463|S |||11/15/2016|nadc06|LYNNE M WALZ
CITIZENS FOR A BETTER TOMORROW|16CFL005963|16IRC00523|11/07/2016|11/09/2016|9720054|CLARK CREATIVE|514 S 13TH STREET |OMAHA|NE|68102||11/04/2016|2506|15FIS13443|S |||11/15/2016|nadc06|DANIEL D QUICK
CITIZENS FOR A BETTER TOMORROW|16CFL005964|16IRC00523|11/07/2016|11/09/2016|9720055|CLARK CREATIVE |514 S 13TH ST|OMAHA|NE|68102||11/04/2016|2492|15FIS13465|S |||11/15/2016|nadc06|JAMES E GORDON
CITIZENS FOR A BETTER TOMORROW|16CFL005965|16IRC00523|11/07/2016|11/09/2016|9720056|CLARK CREATIVE|514 S 13TH ST|OMAHA|NE|68102||11/04/2016|2492|15FIS13440|S |||11/15/2016|nadc06|LARRY J SCHERER
CITIZENS FOR A BETTER TOMORROW|18CFL006098|16IRC00523|05/09/2018|05/09/2018|1120096|NextGen Persuasion - Greckel for Legislature|718 7th St NW|Washington|DC|20001||05/03/2018|8333.33|17FIS13939|O |||05/16/2018|nadc06|SHANE J GRECKEL
CITIZENS FOR A BETTER TOMORROW|18CFL006099|16IRC00523|05/09/2018|05/09/2018|1120097|NextGen Persuasion - Oertwich for Legislature|718 7th St NW|Washington|DC|20001||05/03/2018|8333.33|10FIS11929|O |||05/16/2018|nadc06|DOUGLAS A OERTWICH
CITIZENS FOR A BETTER TOMORROW|18CFL006100|16IRC00523|05/09/2018|05/09/2018|1120098|NextGen Persuasion - Riskowski for Legislature|718 7th St NW|Washington|DC|20001||05/03/2018|8333.34|17FIS13958|O |||05/16/2018|nadc06|AL  RISKOWSKI 
CITIZENS FOR A BETTER TOMORROW|18CFL006104|16IRC00523|05/16/2018|05/16/2018|1120167|BCOM SOLUTIONS|701 P STREET STE 305|LINCOLN|NE|68508|4024144290|05/10/2018|2000|17FIS13958|O |||05/23/2018|nadc06|AL  RISKOWSKI 
CITIZENS FOR A BETTER TOMORROW|18CFL006163|16IRC00523|10/29/2018|10/31/2018|1200127|Clark Creative - Thibodeau for Legislature|514 South 13th St|Omaha|NE|68102||10/26/2018|4960|17FIS13976|O |||11/06/2018|nadc06|THERESA L THIBODEAU
CITIZENS FOR A BETTER TOMORROW|18CFL006166|16IRC00523|11/02/2018|11/05/2018|1210049|CLARK CREATIVE-LATHROP, STEVEN|514 S 13TH STREET|OMAHA|NE|68102||10/31/2018|5375|05FIS10061|S |||11/14/2018|nadc06|STEVEN  LATHROP
CITIZENS FOR A BETTER TOMORROW|18CFL006167|16IRC00523|11/02/2018|11/05/2018|1210048|CLARK CREATIVE-HASSEBROOK, CHUCK H|514 S 13TH STREET|OMAHA|NE|68102||10/31/2018|5375|99FIS05535|S |||11/14/2018|nadc06|CHUCK H HASSEBROOK
CITIZENS FOR A BETTER TOMORROW|18CFL006175|16IRC00523|11/09/2018|11/09/2018|1210050|NEW PARTNERS TELESERVICES-STEVE LATHROP|PO BOX 5021|ST CLOUD|MN|56302||11/05/2018|4494|05FIS10061|S |||11/14/2018|nadc06|STEVEN  LATHROP
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|08CFL003159|08IRC00492|10/24/2008|10/24/2008|7820225|Mack Crounse Group -McCoy for Legislature|2001 N Beauregard Street Suite 420 |Alexandria|VA|22311|7033414463|10/22/2008|4475.1|07FIS10919|O |||10/30/2008|nadc06|BEAU R MCCOY
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|08CFL003181|08IRC00492|10/27/2008|10/28/2008|7840013|Mack Crounse Group - Paul Eurek|2001 N. Beauregard St #420|Alexandria|VA|22311||10/24/2008|14779.56|07FIS10951|O |||11/04/2008|nadc01|PAUL  EUREK
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|08CFL003182|08IRC00492|10/27/2008|10/28/2008|7840014|Mack Crounse Group - Scott Lautenbaugh|2001 N. Beauregard St. #420|alexandria|VA|22311||10/24/2008|6413.55|07FIS10931|O |||11/04/2008|nadc01|SCOTT A LAUTENBAUGH
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|08CFL003243|08IRC00492|11/05/2008|11/05/2008|7840148|Field Works LLC - Kopplin for Legislature|2852 Connecticut Ave NW|Washington|DC|20008|2026674400|11/03/2008|1666.67|99FIS09559|S |||11/10/2008|nadc06|GAIL F KOPPLIN
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|08CFL003244|08IRC00492|11/05/2008|11/05/2008|7840149|Field Works LLC - Lorenzen 2008|2852 Connecticut Ave NW|Washtington|DC|20008|2026674400|11/03/2008|1666.67|08FIS10973|S |||11/10/2008|nadc06|CARL A LORENZEN
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|08CFL003245|08IRC00492|11/05/2008|11/05/2008|7840150|Field Works LLC - Rex Moats for Legislature|2852 Connecticut Ave NW|Washington|DC|20008|2026674400|11/03/2008|1666.67|07FIS10930|S |||11/10/2008|nadc06|REX  J MOATS
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005315|08IRC00492|05/08/2014|05/09/2014|9150117|NextGen Persuasion - Butler for Legislature|PO Box 5911|Washington|DC|20016|2024950586|05/06/2014|5000|99FIS00041|O |||05/13/2014|nadc01|MATT   BUTLER
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005316|08IRC00492|05/09/2014|05/09/2014|9150118|NextGen Persuasion - Smoyer for Nebraska|PO Box 5911|Washington|DC|20016|2024950586|05/06/2014|5000|08FIS11259|O |||05/13/2014|nadc01|BRENT T SMOYER
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005317|08IRC00492|05/09/2014|05/09/2014|9150119|NextGen Persuasion - McCollister for  Legislature|PO Box 5911|Washington|DC|20016|2024950586|05/06/2014|5000|99FIS00279|O |||05/13/2014|nadc01|JOHN S MCCOLLISTER
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005393|08IRC00492|10/30/2014|10/30/2014|9250141|Clark Creative - McCollister for Legislature|514 s. 13th|Omaha|NE|68102||10/27/2014|10000|99FIS00279|O |||11/04/2014|nadc06|JOHN S MCCOLLISTER
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005394|08IRC00492|10/29/2014|10/30/2014|9250142|Unionist Printing - Joni Craighead for Legislature|1309 NW Radial Hwy|Omaha|NE|68132|4025589500|10/27/2014|1194.96|13FIS12694|O |||11/04/2014|nadc06|JONI K CRAIGHEAD
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005395|08IRC00492|10/29/2014|10/30/2014|9250143|Unionist Printing - Smoyer for Nebraska|1309 nw radial hwy|omaha|NE|68132||10/27/2014|1194.96|08FIS11259|O |||11/04/2014|nadc06|BRENT T SMOYER
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005396|08IRC00492|10/29/2014|10/30/2014|9250144|Unionist Printing - McCollister for Legislature|1309 nw radial hwy|omaha|NE|68132||10/27/2014|1194.96|99FIS00279|O |||11/04/2014|nadc06|JOHN S MCCOLLISTER
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005398|08IRC00492|10/30/2014|10/30/2014|9250140|Red State Strategies - Ebke for Legislature|PO Box 540975|Omaha|AL|68154||10/27/2014|1500|13FIS12709|O |||01/28/2015|nadc05|LAURA L EBKE
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005399|08IRC00492|10/30/2014|10/30/2014|9250140|Red State Strategies-Friends of Lindstrom|PO Box 540975|Omaha|NE|68154||10/27/2014|1500|13FIS12707|O |||01/28/2015|nadc05|BRETT R LINDSTROM
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005400|08IRC00492|10/30/2014|10/30/2014|9250140|Red State Strategies-Gwenn Aspen for Legislature|PO Box 540975|Omaha|NE|68154||10/27/2014|1500|13FIS12713|O |||01/28/2015|nadc05|GWENNIVIERE W ASPEN
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005401|08IRC00492|10/30/2014|10/30/2014|9250140|Red State Strategies-Hosch for Legislature|PO Box 540975|Omaha|NE|68154||10/27/2014|1500|13FIS12733|S |||01/28/2015|nadc05|GREGORY C HOSCH
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005402|08IRC00492|10/30/2014|10/30/2014|9250140|Red State Strategies-Joni Craighead for Legislature|PO Box 540975|Omaha|NE|68154||10/27/2014|1500|13FIS12694|O |||01/28/2015|nadc05|JONI K CRAIGHEAD
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005403|08IRC00492|10/30/2014|10/30/2014|9250140|Red State Strategies-Kintner for Legislature|PO Box 540975|Omaha|NE|68154||10/27/2014|1500|12FIS12238|O |||01/28/2015|nadc05|WILLIAM K KINTNER
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005405|08IRC00492|10/30/2014|10/30/2014|9250140|Red State Strategies-McCollister for Legislature|PO Box 540975|Omaha|NE|68154||10/27/2014|1500|99FIS00279|O |||01/28/2015|nadc05|JOHN S MCCOLLISTER
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005406|08IRC00492|10/30/2014|10/30/2014|9250140|Red State Strategies-Smoyer for Nebraska|PO Box 540975|Omaha|NE|68154||10/27/2014|1500|08FIS11259|O |||01/28/2015|nadc05|BRENT T SMOYER
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005408|08IRC00492|10/31/2014|10/31/2014|9250146|Clark Creative - Kintner for Legislature|514 S. 13th|Omaha|NE|68102||10/28/2014|3880|12FIS12238|O |||11/04/2014|nadc06|WILLIAM K KINTNER
CITIZENS FOR A BETTER TOMORROW (DISSOLVED)|14CFL005409|08IRC00492|10/31/2014|10/31/2014|9250145|Clark Creative - Tiemann for Legislature|514 S. 13th St|Omaha|NE|68102||10/28/2014|3000|10FIS11893|O |||11/04/2014|nadc06|ROBERT L TIEMANN
